,site_id,date,s5p_ke_oz,vprps_def,surf_no2,h2o_energy,tcd_formald,surf_ch2o,carmon_cnd,tco_temp_moving_wkly_average,Spring,Summer,Winter
0,40130019,2019-01-01,387.73230045074183,0.3197999894618988,0.00013287374164374011,1.8773568039755162,5.1989466689828506e-05,0.0028972354830044825,0.0299953246815276,223.75417786911672,False,False,True
1,40130019,2019-01-02,408.3463409746587,0.5197027921676636,0.0002102457897692572,1.864756497857175,6.470213158510996e-05,0.003099444765993164,0.0299277184833082,223.66054723701535,False,False,True
2,40130019,2019-01-03,324.8044950574436,0.6394163966178894,0.0002108599161404643,1.6476267372879019,3.0494312910603647e-05,0.0015205422374228923,0.0297841901819215,223.45883704999457,False,False,True
3,40130019,2019-01-04,302.06588885079594,0.9493998885154724,7.787187370098031e-05,1.6131776406308893,9.360254386416756e-05,0.0049694538082474945,0.0302198228064543,223.02726474053665,False,False,True
4,40130019,2019-01-05,189.08851574147596,0.9490883946418762,7.627930538991416e-05,2.898358664709194,4.429756012835149e-05,0.002590845984468335,0.025899526872575,222.93268455519697,False,False,True
5,40130019,2019-01-06,106.7207395391908,0.4496666193008423,7.132507861810626e-05,3.423555990801386,2.3442215879108935e-05,0.0014189469210849131,0.0278945413291695,222.86156621441984,False,False,True
6,40130019,2019-01-07,291.25270017292087,0.4790449142456054,6.178453812410753e-05,3.4366593637608838,6.605737632569811e-05,0.0043285863921129954,0.0289604024939414,222.2812840831712,False,False,True
7,40130019,2019-01-08,292.7971729219537,0.8390372395515442,1.9628577959934948e-07,2.7260161080407586,6.644978729531314e-05,0.004381601518798821,0.029509561599798,221.85097476350774,False,False,True
8,40130019,2019-01-09,273.5164492526229,0.968760073184967,-1.3234388420922898e-05,4.404306792555749,5.137308032810692e-05,0.0034545114003970115,0.0273821257481047,221.69093486757237,False,False,True
9,40130019,2019-01-10,301.46600573211293,0.6591776013374329,3.809458013733108e-05,0.0,0.0002300964527152,0.015486707603912688,0.0,221.96571756239356,False,False,True
10,40130019,2019-01-11,306.52329368186486,0.5993437170982361,4.6286432727288725e-05,2.777998454041802,0.000113274359165,0.007562063264187036,0.0306742897892935,222.37903222748835,False,False,True
11,40130019,2019-01-12,267.9016512921622,0.8189109563827515,1.0556300753797884e-05,3.523218232193104,5.9805306989855534e-05,0.003947116094112294,0.0309433306893134,222.7952557586046,False,False,True
12,40130019,2019-01-13,263.4707308926378,0.519496500492096,3.431400302133218e-05,3.8385307056421576,2.046164245845648e-05,0.0013713373128235913,0.0302549719683326,223.11299346470608,False,False,True
13,40130019,2019-01-14,224.77053954737275,0.7989697456359863,9.419887896224849e-06,4.550477087658395,5.474440349104968e-05,0.0037694160624428263,0.0308444307854481,223.493028133221,False,False,True
14,40130019,2019-01-15,141.34481237899146,0.419382095336914,0.00014511546384060535,3.1635044328889776,3.947278817715967e-05,0.0028803335951736913,0.0278073374873486,223.91611933247245,False,False,True
15,40130019,2019-01-16,282.82605736073305,0.5088866353034973,1.659373646702181e-05,4.3250076124862415,4.972060234898516e-05,0.0036052143837712147,0.0317791979925969,224.3012511184051,False,False,True
16,40130019,2019-01-17,313.28680633523356,0.7087167501449585,9.26094163001589e-06,5.214528596456708,6.174341549169798e-05,0.004268837104357927,0.0301767284271916,224.23555861163604,False,False,True
17,40130019,2019-01-18,288.69043362275016,0.6990230083465576,2.4344610625647124e-06,4.434649598379523,5.940613577484253e-05,0.004182088898769943,0.0307358738017774,223.9915709504231,False,False,True
18,40130019,2019-01-19,310.21642329048996,1.0489097833633425,-8.639635288550468e-06,1.988088303894957,4.0418590115461154e-05,0.0025586918305413146,0.0313708682847292,223.8338317005178,False,False,True
19,40130019,2019-01-20,302.5284318283623,1.2889713048934937,-1.929952180803492e-05,1.8550127221332502,7.269680636545169e-05,0.004350317061193284,0.0278577913267601,223.8685297919795,False,False,True
20,40130019,2019-01-21,347.0525941209534,0.929263710975647,1.2778202195475158e-05,3.313192528914935,7.981993273491048e-05,0.004821232797793858,0.0303226770876991,223.93195190962714,False,False,True
