,site_id,date,lat,long,max_value,elevation,adaboost_preds,adaboost_rk_preds,gb_preds,gb_rk_preds,xgrb_preds,xgrb_rk_preds,rf_preds,rf_rk_preds,mlper_preds,mlper_rk_preds
0,40130019,2019-01-01,33.48378,-112.14256,0.034,335.72565,0.03252738309798413,0.035026817455777605,0.03400030384691608,0.034002266438413184,0.03410175070166588,0.03407541092775646,0.03547791994156361,0.03490480246413781,0.04002735984147365,0.03477649974105926
1,40130019,2019-01-02,33.48378,-112.14256,0.034,335.72565,0.03322453340942468,0.03178439925397567,0.034000384663074784,0.034323876001946974,0.03182836249470711,0.0310565558647979,0.03617993163639724,0.03182112136871643,0.03905878135224472,0.03125472002225253
2,40130019,2019-01-03,33.48378,-112.14256,0.027,335.72565,0.032189930648879456,0.029813754852170072,0.02699997619779641,0.027000612858679163,0.03129696846008301,0.02982228203777095,0.034858295973080905,0.0298065797451583,0.0348213170639424,0.029952467624557638
3,40130019,2019-01-04,33.48378,-112.14256,0.022,335.72565,0.03206539321294972,0.02814991923973223,0.022036091531812053,0.022044613060283685,0.02809375897049904,0.025900196783322473,0.03482078468126229,0.02800299486298081,0.03500659680342766,0.028178393408596715
4,40130019,2019-01-05,33.48378,-112.14256,0.021,335.72565,0.03206539321294972,0.024881668334672778,0.020999048089546286,0.02097208069804602,0.02376890368759632,0.021061884422142265,0.03468894633233242,0.02497703816776383,0.033847383294204725,0.024762336377001447
5,40130019,2019-01-06,33.48378,-112.14256,0.037,335.72565,0.03206539321294972,0.03672161090809679,0.03688199889929978,0.03690496449766545,0.03559540584683418,0.03719758211443977,0.03373935165956778,0.03693316150784501,0.0302799674763623,0.03710015502031234
6,40130019,2019-01-07,33.48378,-112.14256,0.031,335.72565,0.03206539321294972,0.03496351865380112,0.030999441018890156,0.03099742699730894,0.03404654562473297,0.034034648745157436,0.034110887591144244,0.034787943999449226,0.03337282535990557,0.034968139595849074
7,40130019,2019-01-08,33.48378,-112.14256,0.019,335.72565,0.03206539321294972,0.025286614916536686,0.019165589349471053,0.019168684848484017,0.025453202426433563,0.021991063363259292,0.0346088223507113,0.025385077312462843,0.034407946774038745,0.025426810539134596
8,40130019,2019-01-09,33.48378,-112.14256,0.023,335.72565,0.03206539321294972,0.02583851940808627,0.022986029412290564,0.022991919093487904,0.027803990989923477,0.026084702263702155,0.03268084889675746,0.025917378314594182,0.03445549326564323,0.026359899891223615
9,40130019,2019-01-10,33.48378,-112.14256,0.014,335.72565,0.03180812109732057,0.016765501949594752,0.014122117019021945,0.014116460594218023,0.01818329468369484,0.015520570185861459,0.025921104404774974,0.016932026361754678,0.03402733147294135,0.016743713514202525
