,site_id,date,vprps_def,surf_no2,cf,ndvi,s5p_ke_oz,bnid,wdsp_moving_wkly_average,tco_temp_moving_wkly_average,Spring,Summer,Winter
0,40130019,2019-01-01,0.3197999894618988,0.00013287374164374011,0.350406095687276,0.189075,387.73230045074183,34.98053741455078,1.741593258721488,223.75417786911672,False,False,True
1,40130019,2019-01-02,0.5197027921676636,0.0002102457897692572,0.0,0.1885734375,408.3463409746587,34.959068298339844,1.5703150885445731,223.66054723701535,False,False,True
2,40130019,2019-01-03,0.6394163966178894,0.0002108599161404643,0.0,0.188071875,324.8044950574436,32.96480178833008,1.398968287876674,223.45883704999457,False,False,True
3,40130019,2019-01-04,0.9493998885154724,7.787187370098031e-05,0.0,0.1875703125,302.06588885079594,33.978267669677734,1.213012933731079,223.02726474053665,False,False,True
4,40130019,2019-01-05,0.9490883946418762,7.627930538991416e-05,0.6801652185094053,0.18706875,189.08851574147596,0.0,1.3272827863693237,222.93268455519697,False,False,True
5,40130019,2019-01-06,0.4496666193008423,7.132507861810626e-05,0.8900917603594716,0.1865671875,106.7207395391908,30.003711700439453,1.3846214328493391,222.86156621441984,False,False,True
6,40130019,2019-01-07,0.4790449142456054,6.178453812410753e-05,0.6182928631747815,0.186065625,291.25270017292087,27.978330612182617,1.4130832978657313,222.2812840831712,False,False,True
7,40130019,2019-01-08,0.8390372395515442,1.9628577959934948e-07,0.0,0.1855640625,292.7971729219537,28.97854232788086,1.2847241503851754,221.85097476350774,False,False,True
8,40130019,2019-01-09,0.968760073184967,-1.3234388420922898e-05,0.0,0.1850625,273.5164492526229,28.000560760498047,1.2278940507343836,221.69093486757237,False,False,True
9,40130019,2019-01-10,0.6591776013374329,3.809458013733108e-05,0.0,0.1845609375,301.46600573211293,28.988828659057617,1.3422424793243408,221.96571756239356,False,False,True
10,40130019,2019-01-11,0.5993437170982361,4.6286432727288725e-05,0.2024751953163712,0.184059375,306.52329368186486,27.964786529541016,1.4425652538027083,222.37903222748835,False,False,True
11,40130019,2019-01-12,0.8189109563827515,1.0556300753797884e-05,0.2189429359905582,0.1835578125,267.9016512921622,0.0,1.3997243983404977,222.7952557586046,False,False,True
12,40130019,2019-01-13,0.519496500492096,3.431400302133218e-05,0.2556628539788427,0.18305625,263.4707308926378,29.00053596496582,1.4713812725884574,223.11299346470608,False,False,True
13,40130019,2019-01-14,0.7989697456359863,9.419887896224849e-06,0.0,0.1825546875,224.77053954737275,0.0,1.5998338971819197,223.493028133221,False,False,True
14,40130019,2019-01-15,0.419382095336914,0.00014511546384060535,0.0,0.182053125,141.34481237899146,0.0,1.828401701790946,223.91611933247245,False,False,True
15,40130019,2019-01-16,0.5088866353034973,1.659373646702181e-05,0.1918796868775458,0.1815515625,282.82605736073305,23.964786529541016,1.8708385569708688,224.3012511184051,False,False,True
