,site_id,date,ke_oz,vprps_def,bnid,ndvi,spf_hmdty,down_srad_moving_wkly_average,max_surf_temp_moving_wkly_average,vprps_def_moving_wkly_average,wdsp_moving_wkly_average,Spring,Summer,Winter
0,40130019,2019-01-01,228.91492679958597,0.3197999894618988,34.98053741455078,0.189075,0.00340859987773,141.81835283551897,287.33571079799106,0.6895687026636941,1.741593258721488,False,False,True
1,40130019,2019-01-02,239.75971938223927,0.5197027921676636,34.959068298339844,0.1885734375,0.0019993907772004,142.00638689313615,286.3921901157924,0.6852942747729165,1.5703150885445731,False,False,True
2,40130019,2019-01-03,216.1072950756586,0.6394163966178894,32.96480178833008,0.188071875,0.0022198841907083,142.37655639648438,285.99214826311385,0.6881592742034367,1.398968287876674,False,False,True
3,40130019,2019-01-04,188.27542172288813,0.9493998885154724,33.978267669677734,0.1875703125,0.0025802368763834,142.0749032156808,286.79136875697543,0.7381156810692379,1.213012933731079,False,False,True
4,40130019,2019-01-05,115.07811903881309,0.9490883946418762,0.0,0.18706875,0.0035910727456212,134.800288609096,287.44847324916293,0.7552076620715005,1.3272827863693237,False,False,True
5,40130019,2019-01-06,60.0110990764875,0.4496666193008423,30.003711700439453,0.1865671875,0.0043710530735552,121.23337500435966,287.2343444824219,0.7080631468977246,1.3846214328493391,False,False,True
6,40130019,2019-01-07,178.3402458614249,0.4790449142456054,27.978330612182617,0.186065625,0.0054903025738894,120.63286536080497,286.9625810895647,0.6151598564216069,1.4130832978657313,False,False,True
7,40130019,2019-01-08,186.66587831099702,0.8390372395515442,28.97854232788086,0.1855640625,0.0053105135448277,121.50087029593331,288.6769583565848,0.6893366064344134,1.2847241503851754,False,False,True
8,40130019,2019-01-09,172.21549386542432,0.968760073184967,28.000560760498047,0.1850625,0.0056407544761896,120.43914195469448,290.44859095982144,0.7534876465797424,1.2278940507343836,False,False,True
9,40130019,2019-01-10,180.29646700135476,0.6591776013374329,28.988828659057617,0.1845609375,0.0058509474620223,119.84050260271344,291.4056396484375,0.7563106758253915,1.3422424793243408,False,False,True
10,40130019,2019-01-11,188.1531189295536,0.5993437170982361,27.964786529541016,0.184059375,0.0057409671135246,119.9691995893206,291.4345005580357,0.7063026513372149,1.4425652538027083,False,False,True
11,40130019,2019-01-12,152.5431717976058,0.8189109563827515,0.0,0.1835578125,0.0054108537733554,122.65004566737584,291.5917489188058,0.6877058744430542,1.3997243983404977,False,False,True
12,40130019,2019-01-13,164.39800089283506,0.519496500492096,29.00053596496582,0.18305625,0.0059405365027487,133.23205239432198,292.17711966378346,0.6976815717560905,1.4713812725884574,False,False,True
13,40130019,2019-01-14,140.04692416691975,0.7989697456359863,0.0,0.1825546875,0.0062311813235282,128.06898607526506,292.7345275878906,0.7433851190975734,1.5998338971819197,False,False,True
14,40130019,2019-01-15,91.47857603981699,0.419382095336914,0.0,0.182053125,0.0078017548657953,117.10617937360492,292.3777988978795,0.6834343842097691,1.828401701790946,False,False,True
15,40130019,2019-01-16,174.50096319829572,0.5088866353034973,23.964786529541016,0.1815515625,0.0075217625126242,115.9077889578683,292.0927298409598,0.6177381787981305,1.8708385569708688,False,False,True
16,40130019,2019-01-17,194.90893488527377,0.7087167501449585,22.980518341064453,0.18105,0.0063214958645403,116.9200199672154,292.2927725655692,0.6248152000563485,1.799409065927778,False,False,True
17,40130019,2019-01-18,181.04766903976514,0.6990230083465576,27.000585556030277,0.1818734375,0.0067021143622696,116.8277086530413,292.6639404296875,0.6390550988061088,1.8850385631833757,False,False,True
18,40130019,2019-01-19,189.48750891867053,1.0489097833633425,27.98047637939453,0.182696875,0.0045714322477579,122.43481336321149,292.93509347098217,0.6719120740890503,1.8138344969068254,False,False,True
19,40130019,2019-01-20,188.51523638195957,1.2889713048934937,27.969974517822266,0.1835203125,0.003700949717313,127.23217446463448,293.84940447126115,0.7818370461463928,1.6994316237313407,False,False,True
20,40130019,2019-01-21,227.7837842344312,0.929263710975647,39.9793815612793,0.18434375,0.0039909491315484,134.33996909005302,293.6921822684152,0.8004504697663444,1.899549892970494,False,False,True
21,40130019,2019-01-22,227.42064083610398,0.9194239974021912,40.9453239440918,0.1851671875,0.0029600218404084,147.68880571637834,293.5203116280692,0.8718850272042411,1.9707729816436768,False,False,True
