,site_id,date,lat,long,max_value,elevation,adaboost_preds,adaboost_rk_preds,gb_preds,gb_rk_preds,xgrb_preds,xgrb_rk_preds,rf_preds,rf_rk_preds,mlper_preds,mlper_rk_preds
0,40130019,2019-01-01,33.48378,-112.14256,0.034,335.72565,0.031489774871473926,0.03412474049602414,0.03460764086973158,0.03400445776620826,0.03450820967555046,0.033768550635028094,0.03431999999999991,0.0342209972043027,0.03519223727650242,0.034302273684031805
1,40130019,2019-01-02,33.48378,-112.14256,0.034,335.72565,0.031050493331039514,0.030942967974539843,0.031382456271225045,0.0308079983835772,0.03109208680689335,0.031188129321234458,0.033199999999999945,0.033104229034700804,0.035589239443126086,0.03121956472911762
2,40130019,2019-01-03,33.48378,-112.14256,0.027,335.72565,0.030529802505159447,0.030044619325893373,0.028675293680197687,0.02853369125654452,0.02921401895582676,0.028994931237789467,0.02798400000000007,0.02804614904081098,0.03436943014648933,0.02959469942952851
3,40130019,2019-01-04,33.48378,-112.14256,0.022,335.72565,0.030529802505159447,0.027232561586072537,0.027580897720200087,0.02644665078970885,0.02804042212665081,0.027290113554409322,0.024208,0.024017562546989113,0.03345435465229518,0.02841706394315159
4,40130019,2019-01-05,33.48378,-112.14256,0.021,335.72565,0.030121730621120148,0.02440368022748304,0.02543058233857178,0.024716950439510183,0.02412685751914978,0.023271231270625168,0.022759999999999957,0.02221038164005858,0.032678536329478536,0.0240310172533827
5,40130019,2019-01-06,33.48378,-112.14256,0.037,335.72565,0.030121730621120148,0.036715362612811484,0.03701668452762334,0.036851825330813236,0.03624924644827843,0.03650779498228329,0.036668000000000006,0.03673928831044019,0.03183499868105427,0.03701710520587369
6,40130019,2019-01-07,33.48378,-112.14256,0.031,335.72565,0.030529802505159447,0.03396276842483575,0.03100608169980717,0.03102710924531397,0.03362668678164482,0.034018625778883566,0.03173999999999995,0.03172512859051994,0.03288928819749232,0.03440108581284025
7,40130019,2019-01-08,33.48378,-112.14256,0.019,335.72565,0.030529802505159447,0.02516414359112395,0.026834832392895556,0.02281192093344022,0.027277719229459763,0.025614934803918035,0.020616000000000027,0.020353687344072148,0.03285515668884892,0.025441835870793822
8,40130019,2019-01-09,33.48378,-112.14256,0.023,335.72565,0.030529802505159447,0.02624285283686686,0.027376878895835784,0.02636827955639673,0.027257241308689117,0.026218186925496864,0.024923999999999932,0.02503496270061931,0.0320552403970808,0.025667033865248684
9,40130019,2019-01-10,33.48378,-112.14256,0.014,335.72565,0.030529802505159447,0.01646072977081138,0.01708499854758326,0.015504014076465223,0.01772366836667061,0.016379787830816124,0.015131999999999927,0.014605410467630158,0.02771600112401787,0.01823125793084051
10,40130019,2019-01-11,33.48378,-112.14256,0.029,335.72565,0.030529802505159447,0.02823535398283321,0.02883340568592163,0.02835171989571611,0.027308790013194084,0.026824445057249083,0.02922799999999997,0.029125732159716988,0.03298246824622178,0.028546192880625015
11,40130019,2019-01-12,33.48378,-112.14256,0.035,335.72565,0.030529802505159447,0.036570736838910205,0.034578353719342966,0.036666699201522844,0.033333804458379745,0.03595512183949834,0.03547200000000007,0.03611745189931778,0.032145426314449166,0.03657350430163406
12,40130019,2019-01-13,33.48378,-112.14256,0.037,335.72565,0.030529802505159447,0.03579867870831178,0.03534437445838109,0.035958756556296295,0.0343749076128006,0.03573567219681567,0.03679600000000006,0.03699675999081977,0.033642398469547,0.035479963464849856
13,40130019,2019-01-14,33.48378,-112.14256,0.027,335.72565,0.030529802505159447,0.027693799897307907,0.031073450870447095,0.02816428294018508,0.029660411179065704,0.02712928870096854,0.02785200000000003,0.027251704651300043,0.03189284203794354,0.027506979556266953
14,40130019,2019-01-15,33.48378,-112.14256,0.013,335.72565,0.03143719274105336,0.017608655444162798,0.020884293048483035,0.016926100947186534,0.017557509243488312,0.015888202026316123,0.014407999999999933,0.013487579369909516,0.03169815135037371,0.017017829438146143
15,40130019,2019-01-16,33.48378,-112.14256,0.022,335.72565,0.03171944334858696,0.027339814168305727,0.02844352504533799,0.02652684735513709,0.027746079489588737,0.02680822746405486,0.024051999999999994,0.023773336153313285,0.03232681751372693,0.027884892197062933
16,40130019,2019-01-17,33.48378,-112.14256,0.021,335.72565,0.03143719274105336,0.024721342079046946,0.02735608971500005,0.024484038206809777,0.027186280116438866,0.024718148878671586,0.022211999999999944,0.02196722554932965,0.030899743741804847,0.023965297234630558
17,40130019,2019-01-18,33.48378,-112.14256,0.031,335.72565,0.03182069407980808,0.030205351531499714,0.030364358587768352,0.029943121478641,0.02873908169567585,0.029661327548271204,0.030471999999999926,0.03059534734622718,0.033272382103707504,0.030439141994071262
18,40130019,2019-01-19,33.48378,-112.14256,0.039,335.72565,0.03427538058867217,0.03828490321512378,0.03556498063458378,0.038323889617568725,0.03613792732357979,0.03861838280723444,0.03860799999999989,0.03900331362894665,0.033413041705578184,0.03783599851307834
19,40130019,2019-01-20,33.48378,-112.14256,0.03,335.72565,0.032745062339305915,0.030294104314568037,0.03453401405319802,0.032607228749221354,0.034681499004364014,0.03233027521319342,0.030612000000000018,0.03035732296541489,0.03340714867675168,0.031980300516830276
20,40130019,2019-01-21,33.48378,-112.14256,0.041,335.72565,0.036075957519086856,0.03984541160353461,0.03873193999097638,0.03973023798160288,0.03789730370044708,0.0395191199786772,0.04053600000000008,0.040844768074075166,0.0377016444006186,0.03942735291622899
21,40130019,2019-01-22,33.48378,-112.14256,0.038,335.72565,0.03817641180381191,0.03576745353285593,0.03760820473992534,0.035643230754209054,0.036432649940252304,0.03500476687055923,0.037396000000000054,0.037283320860628445,0.03879782254939157,0.03508205453676051
22,40130019,2019-01-23,33.48378,-112.14256,0.026,335.72565,0.039768097174495365,0.031045517005006344,0.03252258007124448,0.030275258386021388,0.03067835420370102,0.02982427684996803,0.02712399999999992,0.027121415007274198,0.03939544624572283,0.02981699189841979
23,40130019,2019-01-24,33.48378,-112.14256,0.025,335.72565,0.03984606412755493,0.025957156589527484,0.036743203035649784,0.02637454331523874,0.03234819322824478,0.02489335134788628,0.025814637048343365,0.025142660124092685,0.03825934534067571,0.025188858644380044
24,40130019,2019-01-25,33.48378,-112.14256,0.028,335.72565,0.040662466051428224,0.03166185242320151,0.03876220024782036,0.031015848942925552,0.03668084740638733,0.029095324403876806,0.028759999999999876,0.02840814856661021,0.040121676407926715,0.028598044539010263
25,40130019,2019-01-26,33.48378,-112.14256,0.042,335.72565,0.040885779962514676,0.041073431235799845,0.03993726923991677,0.04081314987941818,0.039344120770692825,0.040879608164646176,0.04161999999999988,0.04201963722065819,0.03959574963893939,0.04040587333063661
26,40130019,2019-01-27,33.48378,-112.14256,0.037,335.72565,0.04055317883259036,0.03829565794500406,0.039135061277528506,0.03773583761445495,0.03868088871240616,0.03793242333068049,0.03804800000000008,0.03789314692476374,0.040442002069442345,0.03787338835831217
27,40130019,2019-01-28,33.48378,-112.14256,0.03,335.72565,0.04055317883259036,0.03180653521995935,0.03818871805736164,0.03188420753087114,0.03597006946802139,0.03091057256990301,0.03083200000000006,0.030646266604320762,0.0397012802147782,0.03166845774485737
