GEOID;tract;county;total_pop;total_hhunits
04013010102;Census Tract 101.02; Maricopa County;5335;3529
04013010103;Census Tract 101.03; Maricopa County;3193;1793
04013010104;Census Tract 101.04; Maricopa County;2729;2180
04013030401;Census Tract 304.01; Maricopa County;4764;3349
04013030402;Census Tract 304.02; Maricopa County;4042;2298
04013040502;Census Tract 405.02; Maricopa County;4760;2653
04013040506;Census Tract 405.06; Maricopa County;5469;4356
04013040507;Census Tract 405.07; Maricopa County;6420;4620
04013040512;Census Tract 405.12; Maricopa County;1574;1079
04013040513;Census Tract 405.13; Maricopa County;2925;2122
04013040514;Census Tract 405.14; Maricopa County;2947;2062
04013040515;Census Tract 405.15; Maricopa County;4284;2261
04013040516;Census Tract 405.16; Maricopa County;8088;4215
04013040522;Census Tract 405.22; Maricopa County;3897;2955
04013040523;Census Tract 405.23; Maricopa County;3122;2114
04013040524;Census Tract 405.24; Maricopa County;1660;1079
04013040525;Census Tract 405.25; Maricopa County;3101;2062
04013040526;Census Tract 405.26; Maricopa County;2228;1578
04013040527;Census Tract 405.27; Maricopa County;4527;2597
04013040528;Census Tract 405.28; Maricopa County;5822;4358
04013040529;Census Tract 405.29; Maricopa County;3233;2388
04013040530;Census Tract 405.30; Maricopa County;3618;1521
04013040531;Census Tract 405.31; Maricopa County;3558;2776
04013040532;Census Tract 405.32; Maricopa County;7315;2112
04013040533;Census Tract 405.33; Maricopa County;2233;675
04013040534;Census Tract 405.34; Maricopa County;3426;2217
04013040535;Census Tract 405.35; Maricopa County;5352;2229
04013040536;Census Tract 405.36; Maricopa County;6092;2093
04013040537;Census Tract 405.37; Maricopa County;2527;1019
04013040538;Census Tract 405.38; Maricopa County;3285;1354
04013040539;Census Tract 405.39; Maricopa County;6587;2742
04013040540;Census Tract 405.40; Maricopa County;5457;1638
04013040541;Census Tract 405.41; Maricopa County;4357;1887
04013050603;Census Tract 506.03; Maricopa County;5746;2203
04013050604;Census Tract 506.04; Maricopa County;3058;1231
04013050609;Census Tract 506.09; Maricopa County;5888;2502
04013050611;Census Tract 506.11; Maricopa County;7207;1901
04013050612;Census Tract 506.12; Maricopa County;9646;2866
04013050613;Census Tract 506.13; Maricopa County;5650;1562
04013050614;Census Tract 506.14; Maricopa County;3835;1428
04013050615;Census Tract 506.15; Maricopa County;5212;1711
04013050616;Census Tract 506.16; Maricopa County;3066;1013
04013050617;Census Tract 506.17; Maricopa County;5365;1675
04013050618;Census Tract 506.18; Maricopa County;7875;2425
04013050619;Census Tract 506.19; Maricopa County;7351;2718
04013050620;Census Tract 506.20; Maricopa County;7586;2325
04013050621;Census Tract 506.21; Maricopa County;6089;1871
04013050701;Census Tract 507.01; Maricopa County;7677;2352
04013050702;Census Tract 507.02; Maricopa County;6419;2365
04013060801;Census Tract 608.01; Maricopa County;6213;2976
04013060802;Census Tract 608.02; Maricopa County;2880;981
04013060901;Census Tract 609.01; Maricopa County;4696;1608
04013060902;Census Tract 609.02; Maricopa County;3885;1308
04013060903;Census Tract 609.03; Maricopa County;5951;1664
04013060904;Census Tract 609.04; Maricopa County;4076;1308
04013061010;Census Tract 610.10; Maricopa County;6265;2707
04013061011;Census Tract 610.11; Maricopa County;8021;2560
04013061013;Census Tract 610.13; Maricopa County;6951;2189
04013061014;Census Tract 610.14; Maricopa County;6308;2649
04013061015;Census Tract 610.15; Maricopa County;5315;1828
04013061017;Census Tract 610.17; Maricopa County;4177;0
04013061018;Census Tract 610.18; Maricopa County;5020;3860
04013061020;Census Tract 610.20; Maricopa County;3638;1216
04013061021;Census Tract 610.21; Maricopa County;2018;564
04013061024;Census Tract 610.24; Maricopa County;2203;745
04013061026;Census Tract 610.26; Maricopa County;6152;2133
04013061027;Census Tract 610.27; Maricopa County;6410;2358
04013061028;Census Tract 610.28; Maricopa County;2637;1275
04013061029;Census Tract 610.29; Maricopa County;4411;2068
04013061031;Census Tract 610.31; Maricopa County;6588;2252
04013061032;Census Tract 610.32; Maricopa County;6184;2038
04013061033;Census Tract 610.33; Maricopa County;5636;2129
04013061034;Census Tract 610.34; Maricopa County;7950;2670
04013061035;Census Tract 610.35; Maricopa County;7369;2391
04013061036;Census Tract 610.36; Maricopa County;4909;1403
04013061037;Census Tract 610.37; Maricopa County;5844;1895
04013061038;Census Tract 610.38; Maricopa County;4951;1564
04013061039;Census Tract 610.39; Maricopa County;5314;1636
04013061040;Census Tract 610.40; Maricopa County;4287;1509
04013061041;Census Tract 610.41; Maricopa County;4571;1550
04013061042;Census Tract 610.42; Maricopa County;2523;1310
04013061043;Census Tract 610.43; Maricopa County;2541;774
04013061044;Census Tract 610.44; Maricopa County;8920;2863
