GEOID;tract;county;total_pop;total_hhunits
04013010102;Census Tract 101.02; Maricopa County;6265;3537
04013010103;Census Tract 101.03; Maricopa County;3681;1884
04013010104;Census Tract 101.04; Maricopa County;3131;2447
04013030401;Census Tract 304.01; Maricopa County;4744;3170
04013030402;Census Tract 304.02; Maricopa County;4153;2273
04013040502;Census Tract 405.02; Maricopa County;4369;2669
04013040506;Census Tract 405.06; Maricopa County;5543;4333
04013040507;Census Tract 405.07; Maricopa County;6551;4719
04013040512;Census Tract 405.12; Maricopa County;1580;1070
04013040513;Census Tract 405.13; Maricopa County;2787;2096
04013040514;Census Tract 405.14; Maricopa County;2949;2048
04013040515;Census Tract 405.15; Maricopa County;5080;2321
04013040516;Census Tract 405.16; Maricopa County;9360;4804
04013040522;Census Tract 405.22; Maricopa County;4429;2909
04013040523;Census Tract 405.23; Maricopa County;3164;2109
04013040524;Census Tract 405.24; Maricopa County;1647;1068
04013040525;Census Tract 405.25; Maricopa County;2981;2046
04013040526;Census Tract 405.26; Maricopa County;2483;1700
04013040527;Census Tract 405.27; Maricopa County;4608;2587
04013040528;Census Tract 405.28; Maricopa County;5745;4262
04013040529;Census Tract 405.29; Maricopa County;3396;2334
04013040530;Census Tract 405.30; Maricopa County;3613;1472
04013040531;Census Tract 405.31; Maricopa County;3756;2799
04013040532;Census Tract 405.32; Maricopa County;7109;2150
04013040533;Census Tract 405.33; Maricopa County;2862;990
04013040534;Census Tract 405.34; Maricopa County;3516;2259
04013040535;Census Tract 405.35; Maricopa County;6271;2711
04013040536;Census Tract 405.36; Maricopa County;6550;2178
04013040537;Census Tract 405.37; Maricopa County;2974;1374
04013040538;Census Tract 405.38; Maricopa County;5866;2231
04013040539;Census Tract 405.39; Maricopa County;7293;3113
04013040540;Census Tract 405.40; Maricopa County;6427;2139
04013040541;Census Tract 405.41; Maricopa County;5195;2072
04013050603;Census Tract 506.03; Maricopa County;5727;2198
04013050604;Census Tract 506.04; Maricopa County;3582;1402
04013050609;Census Tract 506.09; Maricopa County;5201;2398
04013050611;Census Tract 506.11; Maricopa County;6731;2017
04013050612;Census Tract 506.12; Maricopa County;11852;3510
04013050613;Census Tract 506.13; Maricopa County;5676;1604
04013050614;Census Tract 506.14; Maricopa County;4280;1411
04013050615;Census Tract 506.15; Maricopa County;5418;1882
04013050616;Census Tract 506.16; Maricopa County;2962;1037
04013050617;Census Tract 506.17; Maricopa County;5340;1683
04013050618;Census Tract 506.18; Maricopa County;8264;2576
04013050619;Census Tract 506.19; Maricopa County;9275;3687
04013050620;Census Tract 506.20; Maricopa County;8811;2920
04013050621;Census Tract 506.21; Maricopa County;9303;2718
04013050701;Census Tract 507.01; Maricopa County;7666;2397
04013050702;Census Tract 507.02; Maricopa County;6554;2606
04013060801;Census Tract 608.01; Maricopa County;5274;2597
04013060802;Census Tract 608.02; Maricopa County;3198;1037
04013060901;Census Tract 609.01; Maricopa County;4595;1619
04013060902;Census Tract 609.02; Maricopa County;4023;1282
04013060903;Census Tract 609.03; Maricopa County;5507;1582
04013060904;Census Tract 609.04; Maricopa County;3981;1277
04013061010;Census Tract 610.10; Maricopa County;6263;2852
04013061011;Census Tract 610.11; Maricopa County;8745;2974
04013061013;Census Tract 610.13; Maricopa County;7291;2187
04013061014;Census Tract 610.14; Maricopa County;6114;2678
04013061015;Census Tract 610.15; Maricopa County;5621;2046
04013061017;Census Tract 610.17; Maricopa County;4722;0
04013061018;Census Tract 610.18; Maricopa County;5540;4142
04013061020;Census Tract 610.20; Maricopa County;3538;1242
04013061021;Census Tract 610.21; Maricopa County;2103;578
04013061024;Census Tract 610.24; Maricopa County;2531;810
04013061026;Census Tract 610.26; Maricopa County;6659;2125
04013061027;Census Tract 610.27; Maricopa County;5928;2290
04013061028;Census Tract 610.28; Maricopa County;3054;1290
04013061029;Census Tract 610.29; Maricopa County;4808;2020
04013061031;Census Tract 610.31; Maricopa County;8177;2821
04013061032;Census Tract 610.32; Maricopa County;6238;2014
04013061033;Census Tract 610.33; Maricopa County;5707;2062
04013061034;Census Tract 610.34; Maricopa County;8391;2692
04013061035;Census Tract 610.35; Maricopa County;6997;2300
04013061036;Census Tract 610.36; Maricopa County;4830;1451
04013061037;Census Tract 610.37; Maricopa County;6398;1980
04013061038;Census Tract 610.38; Maricopa County;5162;1512
04013061039;Census Tract 610.39; Maricopa County;6012;2041
04013061040;Census Tract 610.40; Maricopa County;4992;1510
04013061041;Census Tract 610.41; Maricopa County;4658;1501
04013061042;Census Tract 610.42; Maricopa County;2424;1327
04013061043;Census Tract 610.43; Maricopa County;2445;761
04013061044;Census Tract 610.44; Maricopa County;9468;3160
04013061045;Census Tract 610.45; Maricopa County;8706;3171
04013061046;Census Tract 610.46; Maricopa County;6216;2221
04013061047;Census Tract 610.47; Maricopa County;4079;1272
04013061048;Census Tract 610.48; Maricopa County;4133;1753
04013061049;Census Tract 610.49; Maricopa County;5258;1830
04013061050;Census Tract 610.50; Maricopa County;6811;2023
04013061051;Census Tract 610.51; Maricopa County;4774;1340
04013061052;Census Tract 610.52; Maricopa County;9156;3075
04013061053;Census Tract 610.53; Maricopa County;8308;3170
04013061054;Census Tract 610.54; Maricopa County;7649;4007
04013061055;Census Tract 610.55; Maricopa County;5797;2092
04013061056;Census Tract 610.56; Maricopa County;3939;1103
04013061057;Census Tract 610.57; Maricopa County;3591;1353
04013061058;Census Tract 610.58; Maricopa County;3602;1519
04013061059;Census Tract 610.59; Maricopa County;5397;1578
04013061060;Census Tract 610.60; Maricopa County;2864;964
04013061061;Census Tract 610.61; Maricopa County;5088;1423
04013061062;Census Tract 610.62; Maricopa County;7662;2315
04013061063;Census Tract 610.63; Maricopa County;1503;595
04013061064;Census Tract 610.64; Maricopa County;3169;1270
04013061100;Census Tract 611; Maricopa County;2802;638
04013061200;Census Tract 612; Maricopa County;6228;2461
04013061300;Census Tract 613; Maricopa County;2390;767
04013061401;Census Tract 614.01; Maricopa County;2053;696
04013061402;Census Tract 614.02; Maricopa County;5969;2156
04013071503;Census Tract 715.03; Maricopa County;4521;3494
04013071504;Census Tract 715.04; Maricopa County;3287;2512
04013071505;Census Tract 715.05; Maricopa County;6520;4271
04013071506;Census Tract 715.06; Maricopa County;4250;2749
04013071509;Census Tract 715.09; Maricopa County;5613;2207
04013071510;Census Tract 715.10; Maricopa County;4338;1524
04013071511;Census Tract 715.11; Maricopa County;4111;1717
04013071512;Census Tract 715.12; Maricopa County;6241;2417
04013071513;Census Tract 715.13; Maricopa County;1634;669
04013071514;Census Tract 715.14; Maricopa County;4382;1913
04013071515;Census Tract 715.15; Maricopa County;3840;2152
04013071516;Census Tract 715.16; Maricopa County;4251;2632
04013071517;Census Tract 715.17; Maricopa County;3810;1355
04013071600;Census Tract 716; Maricopa County;3834;1845
04013071701;Census Tract 717.01; Maricopa County;3356;921
04013071702;Census Tract 717.02; Maricopa County;3081;2374
04013071801;Census Tract 718.01; Maricopa County;4820;3719
04013071802;Census Tract 718.02; Maricopa County;3222;2577
04013071903;Census Tract 719.03; Maricopa County;6537;2675
04013071906;Census Tract 719.06; Maricopa County;5674;2278
04013071909;Census Tract 719.09; Maricopa County;3799;1821
04013071910;Census Tract 719.10; Maricopa County;7073;2606
04013071911;Census Tract 719.11; Maricopa County;3637;1286
04013071912;Census Tract 719.12; Maricopa County;3270;1271
04013071913;Census Tract 719.13; Maricopa County;6348;2045
04013071914;Census Tract 719.14; Maricopa County;3198;954
04013071915;Census Tract 719.15; Maricopa County;3540;1556
04013082002;Census Tract 820.02; Maricopa County;6737;2598
04013082007;Census Tract 820.07; Maricopa County;4042;1267
04013082008;Census Tract 820.08; Maricopa County;5249;1614
04013082009;Census Tract 820.09; Maricopa County;4927;1352
04013082010;Census Tract 820.10; Maricopa County;5702;1390
04013082012;Census Tract 820.12; Maricopa County;6824;1974
04013082016;Census Tract 820.16; Maricopa County;4197;1225
04013082017;Census Tract 820.17; Maricopa County;5875;1562
04013082018;Census Tract 820.18; Maricopa County;5203;1639
04013082019;Census Tract 820.19; Maricopa County;2355;839
04013082020;Census Tract 820.20; Maricopa County;4659;1573
04013082021;Census Tract 820.21; Maricopa County;2441;831
04013082022;Census Tract 820.22; Maricopa County;5493;1993
04013082023;Census Tract 820.23; Maricopa County;5889;1972
04013082024;Census Tract 820.24; Maricopa County;4545;1899
04013082025;Census Tract 820.25; Maricopa County;3415;1098
04013082026;Census Tract 820.26; Maricopa County;7417;2312
04013082027;Census Tract 820.27; Maricopa County;6225;1857
04013082028;Census Tract 820.28; Maricopa County;4316;1364
04013082204;Census Tract 822.04; Maricopa County;7727;1882
04013082205;Census Tract 822.05; Maricopa County;6702;1756
04013082206;Census Tract 822.06; Maricopa County;4373;1053
04013082207;Census Tract 822.07; Maricopa County;3673;959
04013082208;Census Tract 822.08; Maricopa County;3626;990
04013082209;Census Tract 822.09; Maricopa County;2870;932
04013082210;Census Tract 822.10; Maricopa County;5124;1523
04013082211;Census Tract 822.11; Maricopa County;8054;2350
04013082212;Census Tract 822.12; Maricopa County;6824;1751
04013082213;Census Tract 822.13; Maricopa County;6818;1825
04013083000;Census Tract 830; Maricopa County;7233;2852
04013092305;Census Tract 923.05; Maricopa County;5158;1565
04013092306;Census Tract 923.06; Maricopa County;5611;2162
04013092307;Census Tract 923.07; Maricopa County;6245;2483
04013092308;Census Tract 923.08; Maricopa County;6980;2854
04013092309;Census Tract 923.09; Maricopa County;5891;2020
04013092311;Census Tract 923.11; Maricopa County;2679;1392
04013092312;Census Tract 923.12; Maricopa County;6651;2790
04013092401;Census Tract 924.01; Maricopa County;3937;1803
04013092402;Census Tract 924.02; Maricopa County;3505;1859
04013092500;Census Tract 925; Maricopa County;4656;2101
04013092600;Census Tract 926; Maricopa County;3307;1317
04013092705;Census Tract 927.05; Maricopa County;4684;1595
04013092708;Census Tract 927.08; Maricopa County;1898;769
04013092709;Census Tract 927.09; Maricopa County;4566;1701
04013092710;Census Tract 927.10; Maricopa County;5638;1908
04013092711;Census Tract 927.11; Maricopa County;3720;1156
04013092712;Census Tract 927.12; Maricopa County;4933;1702
04013092713;Census Tract 927.13; Maricopa County;5123;1595
04013092715;Census Tract 927.15; Maricopa County;4882;1364
04013092716;Census Tract 927.16; Maricopa County;3957;1133
04013092717;Census Tract 927.17; Maricopa County;6379;1677
04013092718;Census Tract 927.18; Maricopa County;4555;1353
04013092719;Census Tract 927.19; Maricopa County;5391;2000
04013092720;Census Tract 927.20; Maricopa County;8242;3262
04013092721;Census Tract 927.21; Maricopa County;4018;1224
04013092723;Census Tract 927.23; Maricopa County;4349;1736
04013092724;Census Tract 927.24; Maricopa County;4883;1794
04013092801;Census Tract 928.01; Maricopa County;5949;1847
04013092802;Census Tract 928.02; Maricopa County;5711;1904
04013092900;Census Tract 929; Maricopa County;3517;1170
04013093001;Census Tract 930.01; Maricopa County;6140;2074
04013093002;Census Tract 930.02; Maricopa County;4199;1318
04013093101;Census Tract 931.01; Maricopa County;5750;1732
04013093104;Census Tract 931.04; Maricopa County;5301;1763
04013093105;Census Tract 931.05; Maricopa County;5340;2140
04013093106;Census Tract 931.06; Maricopa County;4169;1078
04013093200;Census Tract 932; Maricopa County;4743;1788
04013103205;Census Tract 1032.05; Maricopa County;2447;962
04013103206;Census Tract 1032.06; Maricopa County;2284;910
04013103207;Census Tract 1032.07; Maricopa County;2215;929
04013103208;Census Tract 1032.08; Maricopa County;3756;2642
04013103209;Census Tract 1032.09; Maricopa County;4961;2533
04013103210;Census Tract 1032.10; Maricopa County;7951;3817
04013103211;Census Tract 1032.11; Maricopa County;4744;1856
04013103212;Census Tract 1032.12; Maricopa County;4343;1638
04013103214;Census Tract 1032.14; Maricopa County;3814;1532
04013103215;Census Tract 1032.15; Maricopa County;3064;1127
04013103216;Census Tract 1032.16; Maricopa County;5584;2483
04013103217;Census Tract 1032.17; Maricopa County;5629;2806
04013103219;Census Tract 1032.19; Maricopa County;3811;2456
04013103220;Census Tract 1032.20; Maricopa County;2820;1718
04013103302;Census Tract 1033.02; Maricopa County;6028;2411
04013103303;Census Tract 1033.03; Maricopa County;3923;1721
04013103304;Census Tract 1033.04; Maricopa County;4406;1856
04013103305;Census Tract 1033.05; Maricopa County;3732;1233
04013103306;Census Tract 1033.06; Maricopa County;4194;1524
04013103400;Census Tract 1034; Maricopa County;4237;1950
04013103501;Census Tract 1035.01; Maricopa County;3085;1345
04013103502;Census Tract 1035.02; Maricopa County;6213;2508
04013103604;Census Tract 1036.04; Maricopa County;4238;2032
04013103605;Census Tract 1036.05; Maricopa County;6041;2515
04013103606;Census Tract 1036.06; Maricopa County;4852;2005
04013103607;Census Tract 1036.07; Maricopa County;4233;1749
04013103608;Census Tract 1036.08; Maricopa County;4338;1750
04013103609;Census Tract 1036.09; Maricopa County;6183;2925
04013103611;Census Tract 1036.11; Maricopa County;5034;2517
04013103612;Census Tract 1036.12; Maricopa County;5643;2722
04013103614;Census Tract 1036.14; Maricopa County;3032;1299
04013103615;Census Tract 1036.15; Maricopa County;5530;1983
04013103701;Census Tract 1037.01; Maricopa County;4947;2443
04013103702;Census Tract 1037.02; Maricopa County;3557;1816
04013103900;Census Tract 1039; Maricopa County;6528;2516
04013104000;Census Tract 1040; Maricopa County;7438;3214
04013104100;Census Tract 1041; Maricopa County;7448;2733
04013104202;Census Tract 1042.02; Maricopa County;4995;1782
04013104203;Census Tract 1042.03; Maricopa County;7374;2458
04013104204;Census Tract 1042.04; Maricopa County;3053;1079
04013104205;Census Tract 1042.05; Maricopa County;6919;2927
04013104206;Census Tract 1042.06; Maricopa County;3987;1387
04013104207;Census Tract 1042.07; Maricopa County;4402;1999
04013104212;Census Tract 1042.12; Maricopa County;6424;2415
04013104214;Census Tract 1042.14; Maricopa County;2304;1006
04013104215;Census Tract 1042.15; Maricopa County;4281;1707
04013104216;Census Tract 1042.16; Maricopa County;4606;1996
04013104217;Census Tract 1042.17; Maricopa County;5217;1941
04013104218;Census Tract 1042.18; Maricopa County;3921;1579
04013104219;Census Tract 1042.19; Maricopa County;4232;1178
04013104221;Census Tract 1042.21; Maricopa County;5417;2018
04013104222;Census Tract 1042.22; Maricopa County;6961;2335
04013104223;Census Tract 1042.23; Maricopa County;2197;652
04013104224;Census Tract 1042.24; Maricopa County;6590;2571
04013104225;Census Tract 1042.25; Maricopa County;3805;1349
04013104226;Census Tract 1042.26; Maricopa County;4516;1816
04013104227;Census Tract 1042.27; Maricopa County;1991;829
04013104301;Census Tract 1043.01; Maricopa County;3941;1342
04013104302;Census Tract 1043.02; Maricopa County;3846;2289
04013104401;Census Tract 1044.01; Maricopa County;5686;2356
04013104402;Census Tract 1044.02; Maricopa County;2435;1351
04013104501;Census Tract 1045.01; Maricopa County;4080;1594
04013104502;Census Tract 1045.02; Maricopa County;5456;1872
