GEOID;tract;county;hh_count;median_hh_inc;mean_hh_inc
04013010102;Census Tract 101.02; Maricopa County;2534;167699;264427
04013010103;Census Tract 101.03; Maricopa County;1430;99018;137905
04013010104;Census Tract 101.04; Maricopa County;1517;127424;162462
04013030401;Census Tract 304.01; Maricopa County;2353;155287;189070
04013030402;Census Tract 304.02; Maricopa County;1891;84798;113991
04013040502;Census Tract 405.02; Maricopa County;2328;58026;83581
04013040506;Census Tract 405.06; Maricopa County;3478;52548;56481
04013040507;Census Tract 405.07; Maricopa County;3802;56783;66725
04013040512;Census Tract 405.12; Maricopa County;914;61023;80763
04013040513;Census Tract 405.13; Maricopa County;1712;59527;82762
04013040514;Census Tract 405.14; Maricopa County;1757;65078;90197
04013040515;Census Tract 405.15; Maricopa County;1786;59139;96096
04013040516;Census Tract 405.16; Maricopa County;3601;87865;93975
04013040522;Census Tract 405.22; Maricopa County;2422;57898;80358
04013040523;Census Tract 405.23; Maricopa County;1693;75893;91675
04013040524;Census Tract 405.24; Maricopa County;877;75450;81994
04013040525;Census Tract 405.25; Maricopa County;1790;73679;84122
04013040526;Census Tract 405.26; Maricopa County;1310;62852;75137
04013040527;Census Tract 405.27; Maricopa County;1951;70576;82278
04013040528;Census Tract 405.28; Maricopa County;3389;68108;81735
04013040529;Census Tract 405.29; Maricopa County;1888;75887;90743
04013040530;Census Tract 405.30; Maricopa County;1459;77557;78750
04013040531;Census Tract 405.31; Maricopa County;2089;42721;54164
04013040532;Census Tract 405.32; Maricopa County;1986;106047;116591
04013040533;Census Tract 405.33; Maricopa County;675;114938;108288
04013040534;Census Tract 405.34; Maricopa County;1900;83375;114248
04013040535;Census Tract 405.35; Maricopa County;2020;104792;144300
04013040536;Census Tract 405.36; Maricopa County;1952;119669;141620
04013040537;Census Tract 405.37; Maricopa County;960;116235;132778
04013040538;Census Tract 405.38; Maricopa County;1322;96204;129745
04013040539;Census Tract 405.39; Maricopa County;2526;76329;88863
04013040540;Census Tract 405.40; Maricopa County;1627;85287;88954
04013040541;Census Tract 405.41; Maricopa County;1656;46455;58999
04013050603;Census Tract 506.03; Maricopa County;1855;65246;72789
04013050604;Census Tract 506.04; Maricopa County;1108;71618;80598
04013050609;Census Tract 506.09; Maricopa County;2135;64819;82066
04013050611;Census Tract 506.11; Maricopa County;1720;87989;106983
04013050612;Census Tract 506.12; Maricopa County;2721;90631;87818
04013050613;Census Tract 506.13; Maricopa County;1452;89671;99100
04013050614;Census Tract 506.14; Maricopa County;1170;89828;107491
04013050615;Census Tract 506.15; Maricopa County;1558;70068;80215
04013050616;Census Tract 506.16; Maricopa County;902;59393;72854
04013050617;Census Tract 506.17; Maricopa County;1550;60875;80680
04013050618;Census Tract 506.18; Maricopa County;2153;136839;137776
04013050619;Census Tract 506.19; Maricopa County;2406;131250;141575
04013050620;Census Tract 506.20; Maricopa County;2125;109513;130657
04013050621;Census Tract 506.21; Maricopa County;1683;77346;104358
04013050701;Census Tract 507.01; Maricopa County;2218;62333;65472
04013050702;Census Tract 507.02; Maricopa County;2171;56156;66632
04013060801;Census Tract 608.01; Maricopa County;2434;32643;48925
04013060802;Census Tract 608.02; Maricopa County;976;72209;72744
04013060901;Census Tract 609.01; Maricopa County;1578;63138;70395
04013060902;Census Tract 609.02; Maricopa County;1220;39674;49825
04013060903;Census Tract 609.03; Maricopa County;1624;62854;65980
04013060904;Census Tract 609.04; Maricopa County;1226;54971;69493
04013061010;Census Tract 610.10; Maricopa County;2486;93688;119710
04013061011;Census Tract 610.11; Maricopa County;2462;106701;113381
04013061013;Census Tract 610.13; Maricopa County;2024;98302;106405
04013061014;Census Tract 610.14; Maricopa County;2492;60577;75629
04013061015;Census Tract 610.15; Maricopa County;1718;74676;101798
04013061017;Census Tract 610.17; Maricopa County;0;-;-
04013061018;Census Tract 610.18; Maricopa County;2967;76394;98851
04013061020;Census Tract 610.20; Maricopa County;1170;120765;133542
04013061021;Census Tract 610.21; Maricopa County;551;129306;157043
04013061024;Census Tract 610.24; Maricopa County;699;83487;91367
04013061026;Census Tract 610.26; Maricopa County;1960;81058;93321
04013061027;Census Tract 610.27; Maricopa County;2228;86477;89216
04013061028;Census Tract 610.28; Maricopa County;1146;66223;98310
04013061029;Census Tract 610.29; Maricopa County;1974;64031;76991
04013061031;Census Tract 610.31; Maricopa County;2090;99861;114034
04013061032;Census Tract 610.32; Maricopa County;1973;84681;96310
04013061033;Census Tract 610.33; Maricopa County;2038;82655;88989
04013061034;Census Tract 610.34; Maricopa County;2445;81319;111116
04013061035;Census Tract 610.35; Maricopa County;2258;69147;84154
