GEOID;tract;county;hh_count;median_hh_inc;mean_hh_inc
04013010102;Census Tract 101.02; Maricopa County;2824;188486;307566
04013010103;Census Tract 101.03; Maricopa County;1516;117813;177086
04013010104;Census Tract 101.04; Maricopa County;1737;140587;196238
04013030401;Census Tract 304.01; Maricopa County;2423;145865;183984
04013030402;Census Tract 304.02; Maricopa County;1928;108031;138975
04013040502;Census Tract 405.02; Maricopa County;2340;64704;86475
04013040506;Census Tract 405.06; Maricopa County;3445;58060;70151
04013040507;Census Tract 405.07; Maricopa County;3807;63957;81694
04013040512;Census Tract 405.12; Maricopa County;952;65263;83377
04013040513;Census Tract 405.13; Maricopa County;1622;70227;90042
04013040514;Census Tract 405.14; Maricopa County;1754;61290;100477
04013040515;Census Tract 405.15; Maricopa County;2039;66991;105294
04013040516;Census Tract 405.16; Maricopa County;4315;91583;104131
04013040522;Census Tract 405.22; Maricopa County;2686;61250;84179
04013040523;Census Tract 405.23; Maricopa County;1793;83105;110672
04013040524;Census Tract 405.24; Maricopa County;868;86806;98366
04013040525;Census Tract 405.25; Maricopa County;1713;75139;86049
04013040526;Census Tract 405.26; Maricopa County;1426;65385;82119
04013040527;Census Tract 405.27; Maricopa County;1870;81509;102612
04013040528;Census Tract 405.28; Maricopa County;3387;78658;88737
04013040529;Census Tract 405.29; Maricopa County;1997;86319;95214
04013040530;Census Tract 405.30; Maricopa County;1381;88355;100127
04013040531;Census Tract 405.31; Maricopa County;2016;59394;72516
04013040532;Census Tract 405.32; Maricopa County;1912;117524;132639
04013040533;Census Tract 405.33; Maricopa County;990;105278;120390
04013040534;Census Tract 405.34; Maricopa County;1966;88229;111633
04013040535;Census Tract 405.35; Maricopa County;2423;125237;153441
04013040536;Census Tract 405.36; Maricopa County;2060;144423;157399
04013040537;Census Tract 405.37; Maricopa County;1242;129838;167863
04013040538;Census Tract 405.38; Maricopa County;2104;113095;148221
04013040539;Census Tract 405.39; Maricopa County;2902;87319;95152
04013040540;Census Tract 405.40; Maricopa County;2121;99139;95472
04013040541;Census Tract 405.41; Maricopa County;1937;57731;102335
04013050603;Census Tract 506.03; Maricopa County;2090;61983;76250
04013050604;Census Tract 506.04; Maricopa County;1274;72799;82828
04013050609;Census Tract 506.09; Maricopa County;2037;85114;96350
04013050611;Census Tract 506.11; Maricopa County;1760;106685;111552
04013050612;Census Tract 506.12; Maricopa County;3311;102563;102062
04013050613;Census Tract 506.13; Maricopa County;1551;101972;114961
04013050614;Census Tract 506.14; Maricopa County;1310;113961;126176
04013050615;Census Tract 506.15; Maricopa County;1661;79276;95270
04013050616;Census Tract 506.16; Maricopa County;904;91955;104504
04013050617;Census Tract 506.17; Maricopa County;1641;99246;110959
