GEOID;tract;county;total_pop;total_hhunits
04013010102;Census Tract 101.02; Maricopa County;5845;3476
04013010103;Census Tract 101.03; Maricopa County;3449;1793
04013010104;Census Tract 101.04; Maricopa County;2942;2306
04013030401;Census Tract 304.01; Maricopa County;4936;3355
04013030402;Census Tract 304.02; Maricopa County;4168;2306
04013040502;Census Tract 405.02; Maricopa County;4521;2686
04013040506;Census Tract 405.06; Maricopa County;5608;4315
04013040507;Census Tract 405.07; Maricopa County;6583;4665
04013040512;Census Tract 405.12; Maricopa County;1524;1074
04013040513;Census Tract 405.13; Maricopa County;2815;2108
04013040514;Census Tract 405.14; Maricopa County;2928;2032
04013040515;Census Tract 405.15; Maricopa County;4723;2300
04013040516;Census Tract 405.16; Maricopa County;8504;4483
04013040522;Census Tract 405.22; Maricopa County;4116;2928
04013040523;Census Tract 405.23; Maricopa County;3065;2102
04013040524;Census Tract 405.24; Maricopa County;1657;1063
04013040525;Census Tract 405.25; Maricopa County;2965;2044
04013040526;Census Tract 405.26; Maricopa County;2363;1628
04013040527;Census Tract 405.27; Maricopa County;4498;2634
04013040528;Census Tract 405.28; Maricopa County;5970;4314
04013040529;Census Tract 405.29; Maricopa County;3302;2347
04013040530;Census Tract 405.30; Maricopa County;3659;1479
04013040531;Census Tract 405.31; Maricopa County;3713;2772
04013040532;Census Tract 405.32; Maricopa County;7126;2090
04013040533;Census Tract 405.33; Maricopa County;2610;778
04013040534;Census Tract 405.34; Maricopa County;3425;2232
04013040535;Census Tract 405.35; Maricopa County;5742;2472
04013040536;Census Tract 405.36; Maricopa County;6165;2134
04013040537;Census Tract 405.37; Maricopa County;2668;1175
04013040538;Census Tract 405.38; Maricopa County;4482;1732
04013040539;Census Tract 405.39; Maricopa County;6737;2904
04013040540;Census Tract 405.40; Maricopa County;5540;1784
04013040541;Census Tract 405.41; Maricopa County;4850;1933
04013050603;Census Tract 506.03; Maricopa County;5918;2117
04013050604;Census Tract 506.04; Maricopa County;3457;1263
04013050609;Census Tract 506.09; Maricopa County;5666;2451
04013050611;Census Tract 506.11; Maricopa County;7488;1961
04013050612;Census Tract 506.12; Maricopa County;10837;3245
04013050613;Census Tract 506.13; Maricopa County;5638;1582
04013050614;Census Tract 506.14; Maricopa County;4054;1445
04013050615;Census Tract 506.15; Maricopa County;5130;1852
04013050616;Census Tract 506.16; Maricopa County;3021;1028
04013050617;Census Tract 506.17; Maricopa County;5540;1691
04013050618;Census Tract 506.18; Maricopa County;8309;2602
04013050619;Census Tract 506.19; Maricopa County;8240;3098
04013050620;Census Tract 506.20; Maricopa County;8030;2604
04013050621;Census Tract 506.21; Maricopa County;7820;2292
04013050701;Census Tract 507.01; Maricopa County;7619;2372
04013050702;Census Tract 507.02; Maricopa County;6444;2493
04013060801;Census Tract 608.01; Maricopa County;5922;2820
04013060802;Census Tract 608.02; Maricopa County;3062;989
04013060901;Census Tract 609.01; Maricopa County;4810;1564
04013060902;Census Tract 609.02; Maricopa County;3805;1280
04013060903;Census Tract 609.03; Maricopa County;5579;1587
04013060904;Census Tract 609.04; Maricopa County;4035;1289
04013061010;Census Tract 610.10; Maricopa County;6180;2761
04013061011;Census Tract 610.11; Maricopa County;8097;2697
04013061013;Census Tract 610.13; Maricopa County;6973;2149
04013061014;Census Tract 610.14; Maricopa County;6265;2677
04013061015;Census Tract 610.15; Maricopa County;5425;2033
04013061017;Census Tract 610.17; Maricopa County;4665;0
04013061018;Census Tract 610.18; Maricopa County;5512;3970
04013061020;Census Tract 610.20; Maricopa County;3576;1221
04013061021;Census Tract 610.21; Maricopa County;1843;560
04013061024;Census Tract 610.24; Maricopa County;2237;775
04013061026;Census Tract 610.26; Maricopa County;6249;2087
04013061027;Census Tract 610.27; Maricopa County;6300;2292
04013061028;Census Tract 610.28; Maricopa County;2866;1240
04013061029;Census Tract 610.29; Maricopa County;5110;2029
04013061031;Census Tract 610.31; Maricopa County;6938;2458
04013061032;Census Tract 610.32; Maricopa County;5971;2011
04013061033;Census Tract 610.33; Maricopa County;5387;2078
04013061034;Census Tract 610.34; Maricopa County;8334;2615
04013061035;Census Tract 610.35; Maricopa County;7031;2313
04013061036;Census Tract 610.36; Maricopa County;4973;1414
04013061037;Census Tract 610.37; Maricopa County;6230;1939
04013061038;Census Tract 610.38; Maricopa County;4984;1522
04013061039;Census Tract 610.39; Maricopa County;5728;1840
04013061040;Census Tract 610.40; Maricopa County;4764;1485
04013061041;Census Tract 610.41; Maricopa County;4712;1521
04013061042;Census Tract 610.42; Maricopa County;2439;1330
04013061043;Census Tract 610.43; Maricopa County;2446;764
04013061044;Census Tract 610.44; Maricopa County;9488;2985
04013061045;Census Tract 610.45; Maricopa County;8209;2993
04013061046;Census Tract 610.46; Maricopa County;6188;2235
04013061047;Census Tract 610.47; Maricopa County;4026;1251
04013061048;Census Tract 610.48; Maricopa County;4370;1718
04013061049;Census Tract 610.49; Maricopa County;5815;1812
04013061050;Census Tract 610.50; Maricopa County;6291;1998
04013061051;Census Tract 610.51; Maricopa County;4666;1338
04013061052;Census Tract 610.52; Maricopa County;8518;2927
04013061053;Census Tract 610.53; Maricopa County;7504;2574
04013061054;Census Tract 610.54; Maricopa County;6765;3676
04013061055;Census Tract 610.55; Maricopa County;5992;1932
04013061056;Census Tract 610.56; Maricopa County;3615;1041
04013061057;Census Tract 610.57; Maricopa County;3400;1179
04013061058;Census Tract 610.58; Maricopa County;3405;1322
04013061059;Census Tract 610.59; Maricopa County;5280;1579
04013061060;Census Tract 610.60; Maricopa County;3083;977
04013061061;Census Tract 610.61; Maricopa County;4948;1418
04013061062;Census Tract 610.62; Maricopa County;7752;2336
04013061063;Census Tract 610.63; Maricopa County;1421;597
04013061064;Census Tract 610.64; Maricopa County;2688;1047
04013061100;Census Tract 611; Maricopa County;2573;617
04013061200;Census Tract 612; Maricopa County;5909;2425
04013061300;Census Tract 613; Maricopa County;2380;767
04013061401;Census Tract 614.01; Maricopa County;2075;726
04013061402;Census Tract 614.02; Maricopa County;6510;2104
04013071503;Census Tract 715.03; Maricopa County;4344;3508
04013071504;Census Tract 715.04; Maricopa County;3406;2495
04013071505;Census Tract 715.05; Maricopa County;6199;4243
04013071506;Census Tract 715.06; Maricopa County;4123;2738
04013071509;Census Tract 715.09; Maricopa County;5305;2170
04013071510;Census Tract 715.10; Maricopa County;4303;1513
04013071511;Census Tract 715.11; Maricopa County;3763;1625
04013071512;Census Tract 715.12; Maricopa County;6310;2397
04013071513;Census Tract 715.13; Maricopa County;1639;658
04013071514;Census Tract 715.14; Maricopa County;4338;1916
04013071515;Census Tract 715.15; Maricopa County;3890;2150
04013071516;Census Tract 715.16; Maricopa County;4363;2602
