GEOID;tract;county;total_pop;total_hhunits
04013071517;Census Tract 715.17; Maricopa County;3773;1353
04013071600;Census Tract 716; Maricopa County;3905;1862
04013071701;Census Tract 717.01; Maricopa County;3249;926
04013071702;Census Tract 717.02; Maricopa County;3190;2389
04013071801;Census Tract 718.01; Maricopa County;5058;3766
04013071802;Census Tract 718.02; Maricopa County;3313;2582
04013071903;Census Tract 719.03; Maricopa County;6615;2640
04013071906;Census Tract 719.06; Maricopa County;5864;2252
04013071909;Census Tract 719.09; Maricopa County;3854;1814
04013071910;Census Tract 719.10; Maricopa County;6936;2615
04013071911;Census Tract 719.11; Maricopa County;3404;1237
04013071912;Census Tract 719.12; Maricopa County;3145;1293
04013071913;Census Tract 719.13; Maricopa County;6620;2065
04013071914;Census Tract 719.14; Maricopa County;3166;958
04013071915;Census Tract 719.15; Maricopa County;3669;1580
04013082002;Census Tract 820.02; Maricopa County;6265;2614
04013082007;Census Tract 820.07; Maricopa County;3819;1265
04013082008;Census Tract 820.08; Maricopa County;5820;1634
04013082009;Census Tract 820.09; Maricopa County;5099;1387
04013082010;Census Tract 820.10; Maricopa County;5517;1382
04013082012;Census Tract 820.12; Maricopa County;7139;2000
04013082016;Census Tract 820.16; Maricopa County;3178;974
04013082017;Census Tract 820.17; Maricopa County;5146;1581
04013082018;Census Tract 820.18; Maricopa County;5393;1638
04013082019;Census Tract 820.19; Maricopa County;2525;842
04013082020;Census Tract 820.20; Maricopa County;4704;1559
04013082021;Census Tract 820.21; Maricopa County;2627;819
04013082022;Census Tract 820.22; Maricopa County;5714;2018
04013082023;Census Tract 820.23; Maricopa County;5628;1943
04013082024;Census Tract 820.24; Maricopa County;4262;1800
04013082025;Census Tract 820.25; Maricopa County;3253;1090
04013082026;Census Tract 820.26; Maricopa County;7078;2270
04013082027;Census Tract 820.27; Maricopa County;5399;1631
04013082028;Census Tract 820.28; Maricopa County;4797;1519
04013082204;Census Tract 822.04; Maricopa County;7104;1672
04013082205;Census Tract 822.05; Maricopa County;6967;1800
04013082206;Census Tract 822.06; Maricopa County;4429;1080
04013082207;Census Tract 822.07; Maricopa County;3568;960
04013082208;Census Tract 822.08; Maricopa County;3521;968
04013082209;Census Tract 822.09; Maricopa County;3146;982
04013082210;Census Tract 822.10; Maricopa County;5115;1524
04013082211;Census Tract 822.11; Maricopa County;7878;2258
04013082212;Census Tract 822.12; Maricopa County;6211;1675
04013082213;Census Tract 822.13; Maricopa County;6973;1758
04013083000;Census Tract 830; Maricopa County;7221;2707
04013092305;Census Tract 923.05; Maricopa County;4873;1554
04013092306;Census Tract 923.06; Maricopa County;5951;2152
04013092307;Census Tract 923.07; Maricopa County;5628;2427
04013092308;Census Tract 923.08; Maricopa County;7667;2855
04013092309;Census Tract 923.09; Maricopa County;6029;2003
04013092311;Census Tract 923.11; Maricopa County;2750;1388
04013092312;Census Tract 923.12; Maricopa County;6351;2737
04013092401;Census Tract 924.01; Maricopa County;4132;1818
04013092402;Census Tract 924.02; Maricopa County;3438;1866
04013092500;Census Tract 925; Maricopa County;4777;2115
04013092600;Census Tract 926; Maricopa County;3282;1312
04013092705;Census Tract 927.05; Maricopa County;4866;1628
04013092708;Census Tract 927.08; Maricopa County;2121;779
04013092709;Census Tract 927.09; Maricopa County;4582;1639
04013092710;Census Tract 927.10; Maricopa County;5701;1849
04013092711;Census Tract 927.11; Maricopa County;4137;1176
04013092712;Census Tract 927.12; Maricopa County;5311;1654
04013092713;Census Tract 927.13; Maricopa County;5094;1576
04013092715;Census Tract 927.15; Maricopa County;4378;1370
04013092716;Census Tract 927.16; Maricopa County;3972;1141
04013092717;Census Tract 927.17; Maricopa County;6132;1687
04013092718;Census Tract 927.18; Maricopa County;4517;1340
04013092719;Census Tract 927.19; Maricopa County;4895;1846
04013092720;Census Tract 927.20; Maricopa County;6920;2621
04013092721;Census Tract 927.21; Maricopa County;3604;1155
04013092723;Census Tract 927.23; Maricopa County;4365;1744
04013092724;Census Tract 927.24; Maricopa County;5018;1757
04013092801;Census Tract 928.01; Maricopa County;5966;1826
04013092802;Census Tract 928.02; Maricopa County;6134;1903
04013092900;Census Tract 929; Maricopa County;3411;1184
04013093001;Census Tract 930.01; Maricopa County;6109;2124
04013093002;Census Tract 930.02; Maricopa County;4242;1324
04013093101;Census Tract 931.01; Maricopa County;5672;1749
04013093104;Census Tract 931.04; Maricopa County;5122;1763
04013093105;Census Tract 931.05; Maricopa County;5256;2104
04013093106;Census Tract 931.06; Maricopa County;4345;1092
04013093200;Census Tract 932; Maricopa County;4496;1717
04013103205;Census Tract 1032.05; Maricopa County;2471;945
04013103206;Census Tract 1032.06; Maricopa County;2278;909
04013103207;Census Tract 1032.07; Maricopa County;2275;911
04013103208;Census Tract 1032.08; Maricopa County;3272;2593
04013103209;Census Tract 1032.09; Maricopa County;4814;2479
04013103210;Census Tract 1032.10; Maricopa County;7759;3747
04013103211;Census Tract 1032.11; Maricopa County;4608;1824
04013103212;Census Tract 1032.12; Maricopa County;4223;1609
04013103214;Census Tract 1032.14; Maricopa County;3781;1508
04013103215;Census Tract 1032.15; Maricopa County;3109;1117
04013103216;Census Tract 1032.16; Maricopa County;5439;2418
04013103217;Census Tract 1032.17; Maricopa County;5676;2764
04013103219;Census Tract 1032.19; Maricopa County;3461;2161
04013103220;Census Tract 1032.20; Maricopa County;2549;1671
04013103302;Census Tract 1033.02; Maricopa County;6007;2360
04013103303;Census Tract 1033.03; Maricopa County;3800;1718
04013103304;Census Tract 1033.04; Maricopa County;3991;1825
04013103305;Census Tract 1033.05; Maricopa County;3997;1285
04013103306;Census Tract 1033.06; Maricopa County;4139;1538
04013103400;Census Tract 1034; Maricopa County;4041;1876
04013103501;Census Tract 1035.01; Maricopa County;2964;1313
04013103502;Census Tract 1035.02; Maricopa County;6051;2505
04013103604;Census Tract 1036.04; Maricopa County;4441;2003
04013103605;Census Tract 1036.05; Maricopa County;5786;2396
04013103606;Census Tract 1036.06; Maricopa County;4672;1944
04013103607;Census Tract 1036.07; Maricopa County;4206;1720
04013103608;Census Tract 1036.08; Maricopa County;4259;1711
04013103609;Census Tract 1036.09; Maricopa County;5706;2800
04013103611;Census Tract 1036.11; Maricopa County;5082;2448
04013103612;Census Tract 1036.12; Maricopa County;5155;2700
04013103614;Census Tract 1036.14; Maricopa County;2888;1276
04013103615;Census Tract 1036.15; Maricopa County;5463;1997
04013103701;Census Tract 1037.01; Maricopa County;4858;2423
04013103702;Census Tract 1037.02; Maricopa County;3519;1808
04013103900;Census Tract 1039; Maricopa County;6754;2512
04013104000;Census Tract 1040; Maricopa County;7646;3212
04013104100;Census Tract 1041; Maricopa County;7580;2646
04013104202;Census Tract 1042.02; Maricopa County;4668;1749
04013104203;Census Tract 1042.03; Maricopa County;7413;2430
04013104204;Census Tract 1042.04; Maricopa County;3152;1075
04013104205;Census Tract 1042.05; Maricopa County;6257;2930
04013104206;Census Tract 1042.06; Maricopa County;3711;1372
04013104207;Census Tract 1042.07; Maricopa County;4298;1970
04013104212;Census Tract 1042.12; Maricopa County;6340;2391
04013104214;Census Tract 1042.14; Maricopa County;2183;975
04013104215;Census Tract 1042.15; Maricopa County;4151;1666
04013104216;Census Tract 1042.16; Maricopa County;4856;1978
04013104217;Census Tract 1042.17; Maricopa County;5538;2058
04013104218;Census Tract 1042.18; Maricopa County;3807;1575
04013104219;Census Tract 1042.19; Maricopa County;3906;1155
04013104221;Census Tract 1042.21; Maricopa County;5588;1976
04013104222;Census Tract 1042.22; Maricopa County;7102;2323
04013104223;Census Tract 1042.23; Maricopa County;2215;645
04013104224;Census Tract 1042.24; Maricopa County;6377;2574
04013104225;Census Tract 1042.25; Maricopa County;3629;1326
04013104226;Census Tract 1042.26; Maricopa County;4173;1786
04013104227;Census Tract 1042.27; Maricopa County;2045;826
04013104301;Census Tract 1043.01; Maricopa County;3955;1316
04013104302;Census Tract 1043.02; Maricopa County;3909;2244
04013104401;Census Tract 1044.01; Maricopa County;5551;2366
04013104402;Census Tract 1044.02; Maricopa County;2474;1339
04013104501;Census Tract 1045.01; Maricopa County;4070;1607
04013104502;Census Tract 1045.02; Maricopa County;5576;1928
04013104600;Census Tract 1046; Maricopa County;3956;1916
04013104701;Census Tract 1047.01; Maricopa County;2944;1742
04013104702;Census Tract 1047.02; Maricopa County;3778;1980
04013104801;Census Tract 1048.01; Maricopa County;3904;1673
04013104802;Census Tract 1048.02; Maricopa County;5582;2610
04013104900;Census Tract 1049; Maricopa County;4050;1723
04013105002;Census Tract 1050.02; Maricopa County;2464;1395
04013105003;Census Tract 1050.03; Maricopa County;3959;1658
04013105004;Census Tract 1050.04; Maricopa County;3555;1502
04013105101;Census Tract 1051.01; Maricopa County;4299;1698
04013105102;Census Tract 1051.02; Maricopa County;4687;2774
04013105103;Census Tract 1051.03; Maricopa County;2969;1531
04013105200;Census Tract 1052; Maricopa County;6259;3101
04013105300;Census Tract 1053; Maricopa County;4868;2409
04013105400;Census Tract 1054; Maricopa County;3677;1635
04013105501;Census Tract 1055.01; Maricopa County;2303;1029
04013105502;Census Tract 1055.02; Maricopa County;1865;1020
04013105503;Census Tract 1055.03; Maricopa County;4125;2358
04013105601;Census Tract 1056.01; Maricopa County;4061;1186
04013105602;Census Tract 1056.02; Maricopa County;6399;2470
04013105701;Census Tract 1057.01; Maricopa County;3494;1217
04013105702;Census Tract 1057.02; Maricopa County;4287;1420
04013105800;Census Tract 1058; Maricopa County;6273;2296
04013105900;Census Tract 1059; Maricopa County;5360;2176
04013106001;Census Tract 1060.01; Maricopa County;1856;610
04013106002;Census Tract 1060.02; Maricopa County;2603;1478
04013106003;Census Tract 1060.03; Maricopa County;4037;1359
04013106100;Census Tract 1061; Maricopa County;5835;2800
04013106200;Census Tract 1062; Maricopa County;3410;1288
04013106300;Census Tract 1063; Maricopa County;5280;3008
04013106400;Census Tract 1064; Maricopa County;3265;1410
04013106501;Census Tract 1065.01; Maricopa County;3035;1641
04013106502;Census Tract 1065.02; Maricopa County;3692;2080
04013106600;Census Tract 1066; Maricopa County;3649;1816
04013106701;Census Tract 1067.01; Maricopa County;4559;2376
04013106702;Census Tract 1067.02; Maricopa County;1290;641
04013106703;Census Tract 1067.03; Maricopa County;2440;1086
04013106801;Census Tract 1068.01; Maricopa County;4706;2056
04013106802;Census Tract 1068.02; Maricopa County;3315;1542
04013106900;Census Tract 1069; Maricopa County;8260;2298
04013107001;Census Tract 1070.01; Maricopa County;4621;1578
04013107002;Census Tract 1070.02; Maricopa County;3854;1171
04013107101;Census Tract 1071.01; Maricopa County;5244;1375
04013107102;Census Tract 1071.02; Maricopa County;5414;1817
04013107201;Census Tract 1072.01; Maricopa County;3129;286
04013107202;Census Tract 1072.02; Maricopa County;5019;1462
04013107300;Census Tract 1073; Maricopa County;6830;2432
04013107401;Census Tract 1074.01; Maricopa County;2681;1135
04013107402;Census Tract 1074.02; Maricopa County;1479;498
04013107403;Census Tract 1074.03; Maricopa County;2200;1059
04013107404;Census Tract 1074.04; Maricopa County;1256;517
04013107500;Census Tract 1075; Maricopa County;3464;1838
04013107601;Census Tract 1076.01; Maricopa County;2980;2078
04013107602;Census Tract 1076.02; Maricopa County;2749;1428
04013107700;Census Tract 1077; Maricopa County;4117;2473
04013107800;Census Tract 1078; Maricopa County;2523;1854
04013107900;Census Tract 1079; Maricopa County;3835;2022
04013108000;Census Tract 1080; Maricopa County;2843;1191
04013108100;Census Tract 1081; Maricopa County;2249;1297
04013108200;Census Tract 1082; Maricopa County;3109;1711
04013108301;Census Tract 1083.01; Maricopa County;3902;1924
04013108302;Census Tract 1083.02; Maricopa County;3258;1811
04013108400;Census Tract 1084; Maricopa County;5726;4143
04013108501;Census Tract 1085.01; Maricopa County;2451;1348
04013108502;Census Tract 1085.02; Maricopa County;3376;2503
04013108601;Census Tract 1086.01; Maricopa County;2441;1610
04013108602;Census Tract 1086.02; Maricopa County;6667;3799
04013108802;Census Tract 1088.02; Maricopa County;2118;1400
04013108901;Census Tract 1089.01; Maricopa County;2364;1245
04013108902;Census Tract 1089.02; Maricopa County;5188;2520
04013109001;Census Tract 1090.01; Maricopa County;5037;1879
04013109002;Census Tract 1090.02; Maricopa County;3948;1761
04013109003;Census Tract 1090.03; Maricopa County;6402;2166
04013109101;Census Tract 1091.01; Maricopa County;3798;999
04013109102;Census Tract 1091.02; Maricopa County;6646;1928
04013109200;Census Tract 1092; Maricopa County;4463;1675
04013109300;Census Tract 1093; Maricopa County;4767;1209
04013109401;Census Tract 1094.01; Maricopa County;3383;1321
04013109402;Census Tract 1094.02; Maricopa County;4744;1308
04013109500;Census Tract 1095; Maricopa County;5868;1517
04013109601;Census Tract 1096.01; Maricopa County;4552;1367
04013109602;Census Tract 1096.02; Maricopa County;7841;2113
04013109603;Census Tract 1096.03; Maricopa County;4116;1148
04013109604;Census Tract 1096.04; Maricopa County;4428;1199
04013109702;Census Tract 1097.02; Maricopa County;5918;1413
04013109703;Census Tract 1097.03; Maricopa County;2980;1067
04013109704;Census Tract 1097.04; Maricopa County;2519;744
04013109705;Census Tract 1097.05; Maricopa County;1869;509
04013109706;Census Tract 1097.06; Maricopa County;3241;921
04013109707;Census Tract 1097.07; Maricopa County;5038;1773
04013109801;Census Tract 1098.01; Maricopa County;5028;1354
04013109802;Census Tract 1098.02; Maricopa County;4629;1233
04013109900;Census Tract 1099; Maricopa County;7676;2025
04013110001;Census Tract 1100.01; Maricopa County;5062;1149
04013110002;Census Tract 1100.02; Maricopa County;4797;1457
04013110100;Census Tract 1101; Maricopa County;6915;1956
04013110400;Census Tract 1104; Maricopa County;4948;2499
04013110501;Census Tract 1105.01; Maricopa County;3445;2389
04013110502;Census Tract 1105.02; Maricopa County;3264;2350
04013110600;Census Tract 1106; Maricopa County;4758;2452
04013110701;Census Tract 1107.01; Maricopa County;2244;1131
04013110702;Census Tract 1107.02; Maricopa County;4571;1761
04013110801;Census Tract 1108.01; Maricopa County;5025;2668
04013110802;Census Tract 1108.02; Maricopa County;2401;1214
04013110901;Census Tract 1109.01; Maricopa County;3528;1923
04013110902;Census Tract 1109.02; Maricopa County;4617;2054
04013111000;Census Tract 1110; Maricopa County;4343;2110
04013111100;Census Tract 1111; Maricopa County;4997;1965
04013111201;Census Tract 1112.01; Maricopa County;6230;2888
04013111202;Census Tract 1112.02; Maricopa County;1792;987
04013111203;Census Tract 1112.03; Maricopa County;1962;1153
04013111204;Census Tract 1112.04; Maricopa County;3666;1796
04013111300;Census Tract 1113; Maricopa County;5679;2620
04013111401;Census Tract 1114.01; Maricopa County;4473;1437
04013111402;Census Tract 1114.02; Maricopa County;3471;1490
04013111501;Census Tract 1115.01; Maricopa County;2148;762
04013111502;Census Tract 1115.02; Maricopa County;6440;2420
04013111601;Census Tract 1116.01; Maricopa County;3376;1153
04013111602;Census Tract 1116.02; Maricopa County;4646;1937
04013111700;Census Tract 1117; Maricopa County;5554;2709
04013111800;Census Tract 1118; Maricopa County;4695;3306
04013111900;Census Tract 1119; Maricopa County;2522;1144
04013112100;Census Tract 1121; Maricopa County;3919;1160
04013112201;Census Tract 1122.01; Maricopa County;5002;1365
04013112202;Census Tract 1122.02; Maricopa County;4028;1586
04013112301;Census Tract 1123.01; Maricopa County;5989;2150
04013112302;Census Tract 1123.02; Maricopa County;7282;2226
04013112401;Census Tract 1124.01; Maricopa County;6194;1815
04013112402;Census Tract 1124.02; Maricopa County;6231;1376
04013112502;Census Tract 1125.02; Maricopa County;5997;1403
04013112504;Census Tract 1125.04; Maricopa County;4024;1284
04013112507;Census Tract 1125.07; Maricopa County;3292;1107
04013112508;Census Tract 1125.08; Maricopa County;2412;769
04013112510;Census Tract 1125.10; Maricopa County;4743;1205
04013112512;Census Tract 1125.12; Maricopa County;660;265
04013112514;Census Tract 1125.14; Maricopa County;4533;1499
04013112515;Census Tract 1125.15; Maricopa County;4594;1310
04013112516;Census Tract 1125.16; Maricopa County;4721;1338
04013112517;Census Tract 1125.17; Maricopa County;5270;1519
04013112518;Census Tract 1125.18; Maricopa County;5169;1295
04013112519;Census Tract 1125.19; Maricopa County;5173;1166
04013112520;Census Tract 1125.20; Maricopa County;4163;1196
04013112521;Census Tract 1125.21; Maricopa County;3059;1396
04013112522;Census Tract 1125.22; Maricopa County;6843;1673
04013112523;Census Tract 1125.23; Maricopa County;4435;1637
04013112524;Census Tract 1125.24; Maricopa County;5060;2233
04013112601;Census Tract 1126.01; Maricopa County;3507;1221
04013112602;Census Tract 1126.02; Maricopa County;8704;2248
04013112700;Census Tract 1127; Maricopa County;7787;2189
04013112900;Census Tract 1129; Maricopa County;4630;2311
04013113000;Census Tract 1130; Maricopa County;4041;2400
04013113100;Census Tract 1131; Maricopa County;5837;3255
04013113201;Census Tract 1132.01; Maricopa County;2244;877
04013113202;Census Tract 1132.02; Maricopa County;2141;955
04013113204;Census Tract 1132.04; Maricopa County;2484;1410
04013113301;Census Tract 1133.01; Maricopa County;3748;1575
04013113502;Census Tract 1135.02; Maricopa County;3243;798
04013113503;Census Tract 1135.03; Maricopa County;4826;1526
04013113601;Census Tract 1136.01; Maricopa County;4911;1717
04013113602;Census Tract 1136.02; Maricopa County;4292;1443
04013113701;Census Tract 1137.01; Maricopa County;5599;2715
04013113702;Census Tract 1137.02; Maricopa County;2540;780
04013113800;Census Tract 1138; Maricopa County;2581;1574
04013113900;Census Tract 1139; Maricopa County;1532;653
04013114000;Census Tract 1140; Maricopa County;1865;1438
04013114100;Census Tract 1141; Maricopa County;2061;1043
04013114200;Census Tract 1142; Maricopa County;933;510
04013114301;Census Tract 1143.01; Maricopa County;868;324
04013114302;Census Tract 1143.02; Maricopa County;2711;1097
04013114401;Census Tract 1144.01; Maricopa County;1687;605
04013114402;Census Tract 1144.02; Maricopa County;1756;615
04013114500;Census Tract 1145; Maricopa County;4224;1463
04013114600;Census Tract 1146; Maricopa County;1364;466
04013114704;Census Tract 1147.04; Maricopa County;1988;415
04013114705;Census Tract 1147.05; Maricopa County;3325;0
04013114800;Census Tract 1148; Maricopa County;3120;1022
04013114900;Census Tract 1149; Maricopa County;2717;1308
04013115200;Census Tract 1152; Maricopa County;3427;987
04013115300;Census Tract 1153; Maricopa County;2765;1126
04013115400;Census Tract 1154; Maricopa County;1688;648
04013115500;Census Tract 1155; Maricopa County;3864;1130
04013115600;Census Tract 1156; Maricopa County;4241;1241
04013115700;Census Tract 1157; Maricopa County;7457;1988
04013115801;Census Tract 1158.01; Maricopa County;4247;1403
04013115802;Census Tract 1158.02; Maricopa County;3825;1410
04013115900;Census Tract 1159; Maricopa County;6225;2139
04013116000;Census Tract 1160; Maricopa County;6848;2446
04013116100;Census Tract 1161; Maricopa County;4543;1727
04013116202;Census Tract 1162.02; Maricopa County;5017;1358
04013116203;Census Tract 1162.03; Maricopa County;7026;2771
04013116204;Census Tract 1162.04; Maricopa County;4409;1290
04013116205;Census Tract 1162.05; Maricopa County;3975;1856
04013116300;Census Tract 1163; Maricopa County;6181;2041
04013116400;Census Tract 1164; Maricopa County;5913;1534
04013116500;Census Tract 1165; Maricopa County;4973;1554
04013116605;Census Tract 1166.05; Maricopa County;7207;2145
04013116606;Census Tract 1166.06; Maricopa County;6091;1796
04013116607;Census Tract 1166.07; Maricopa County;4238;1154
04013116610;Census Tract 1166.10; Maricopa County;6798;2275
04013116611;Census Tract 1166.11; Maricopa County;4236;1344
04013116612;Census Tract 1166.12; Maricopa County;6707;2131
04013116614;Census Tract 1166.14; Maricopa County;3709;1170
04013116615;Census Tract 1166.15; Maricopa County;3847;1286
04013116616;Census Tract 1166.16; Maricopa County;5232;1569
04013116617;Census Tract 1166.17; Maricopa County;3649;1339
04013116618;Census Tract 1166.18; Maricopa County;5416;1788
04013116619;Census Tract 1166.19; Maricopa County;5161;1443
04013116620;Census Tract 1166.20; Maricopa County;8046;2126
04013116621;Census Tract 1166.21; Maricopa County;5798;1502
04013116703;Census Tract 1167.03; Maricopa County;5527;1806
04013116707;Census Tract 1167.07; Maricopa County;3027;1422
04013116708;Census Tract 1167.08; Maricopa County;5235;2894
04013116709;Census Tract 1167.09; Maricopa County;2587;1405
04013116710;Census Tract 1167.10; Maricopa County;5256;1879
04013116711;Census Tract 1167.11; Maricopa County;2079;865
04013116712;Census Tract 1167.12; Maricopa County;6893;3376
04013116713;Census Tract 1167.13; Maricopa County;5684;2544
04013116714;Census Tract 1167.14; Maricopa County;3457;1287
04013116715;Census Tract 1167.15; Maricopa County;1797;915
04013116717;Census Tract 1167.17; Maricopa County;3190;1687
04013116718;Census Tract 1167.18; Maricopa County;2575;1253
04013116719;Census Tract 1167.19; Maricopa County;6679;2888
04013116720;Census Tract 1167.20; Maricopa County;3996;1733
04013116721;Census Tract 1167.21; Maricopa County;3653;1491
04013116725;Census Tract 1167.25; Maricopa County;5226;2264
04013116727;Census Tract 1167.27; Maricopa County;3781;1583
04013116728;Census Tract 1167.28; Maricopa County;5362;1738
04013116729;Census Tract 1167.29; Maricopa County;3722;1406
04013116730;Census Tract 1167.30; Maricopa County;1729;661
04013116731;Census Tract 1167.31; Maricopa County;3389;1324
