GEOID;tract;county;total_pop;total_hhunits
04013010101;Census Tract 101.01; Maricopa County;5062;3444
04013010102;Census Tract 101.02; Maricopa County;5127;3686
04013030401;Census Tract 304.01; Maricopa County;5245;3641
04013030402;Census Tract 304.02; Maricopa County;4541;2609
04013040502;Census Tract 405.02; Maricopa County;5304;2821
04013040506;Census Tract 405.06; Maricopa County;5559;4312
04013040507;Census Tract 405.07; Maricopa County;6731;4679
04013040512;Census Tract 405.12; Maricopa County;1776;1194
04013040513;Census Tract 405.13; Maricopa County;2978;2218
04013040514;Census Tract 405.14; Maricopa County;3156;2267
04013040515;Census Tract 405.15; Maricopa County;4654;2604
04013040516;Census Tract 405.16; Maricopa County;5407;2858
04013040517;Census Tract 405.17; Maricopa County;8553;3291
04013040518;Census Tract 405.18; Maricopa County;7639;3350
04013040519;Census Tract 405.19; Maricopa County;7078;3348
04013040520;Census Tract 405.20; Maricopa County;6181;2151
04013040521;Census Tract 405.21; Maricopa County;8898;2707
04013040522;Census Tract 405.22; Maricopa County;4134;3024
04013040523;Census Tract 405.23; Maricopa County;3077;2176
04013040524;Census Tract 405.24; Maricopa County;1433;1026
04013040525;Census Tract 405.25; Maricopa County;3263;2082
04013040526;Census Tract 405.26; Maricopa County;2082;1589
04013040527;Census Tract 405.27; Maricopa County;4094;2582
04013040528;Census Tract 405.28; Maricopa County;5728;4457
04013040529;Census Tract 405.29; Maricopa County;3116;2463
04013040530;Census Tract 405.30; Maricopa County;3788;1579
04013040531;Census Tract 405.31; Maricopa County;3602;2646
04013050603;Census Tract 506.03; Maricopa County;5926;2136
04013050604;Census Tract 506.04; Maricopa County;3701;1367
04013050605;Census Tract 506.05; Maricopa County;9418;3124
04013050606;Census Tract 506.06; Maricopa County;10341;3627
04013050607;Census Tract 506.07; Maricopa County;8272;2416
04013050608;Census Tract 506.08; Maricopa County;7935;2593
04013050609;Census Tract 506.09; Maricopa County;5140;2154
04013050610;Census Tract 506.10; Maricopa County;12543;3606
04013050611;Census Tract 506.11; Maricopa County;6081;1642
04013050701;Census Tract 507.01; Maricopa County;6526;1917
04013050702;Census Tract 507.02; Maricopa County;4979;1809
04013060801;Census Tract 608.01; Maricopa County;5737;2716
04013060802;Census Tract 608.02; Maricopa County;2937;913
04013060901;Census Tract 609.01; Maricopa County;5497;1613
04013060902;Census Tract 609.02; Maricopa County;3273;1042
04013060903;Census Tract 609.03; Maricopa County;5912;1584
04013060904;Census Tract 609.04; Maricopa County;3820;1209
04013061009;Census Tract 610.09; Maricopa County;11277;4603
04013061010;Census Tract 610.10; Maricopa County;5800;2544
04013061011;Census Tract 610.11; Maricopa County;7931;2089
04013061012;Census Tract 610.12; Maricopa County;7935;3063
04013061013;Census Tract 610.13; Maricopa County;6719;2030
04013061014;Census Tract 610.14; Maricopa County;6849;2811
04013061015;Census Tract 610.15; Maricopa County;5573;1857
04013061016;Census Tract 610.16; Maricopa County;7929;2281
04013061017;Census Tract 610.17; Maricopa County;3657;0
04013061018;Census Tract 610.18; Maricopa County;4298;3083
04013061019;Census Tract 610.19; Maricopa County;5366;1644
04013061020;Census Tract 610.20; Maricopa County;3622;1221
04013061021;Census Tract 610.21; Maricopa County;2100;589
04013061022;Census Tract 610.22; Maricopa County;10228;3316
