GEOID;tract;county;hh_count;median_hh_inc;mean_hh_inc
04013422621;Census Tract 4226.21; Maricopa County;1439;129453;137290
04013422622;Census Tract 4226.22; Maricopa County;1464;118828;132023
04013422623;Census Tract 4226.23; Maricopa County;2585;106382;127468
04013422624;Census Tract 4226.24; Maricopa County;1573;52696;63403
04013422625;Census Tract 4226.25; Maricopa County;1999;44723;64771
04013422626;Census Tract 4226.26; Maricopa County;1329;52198;57837
04013422627;Census Tract 4226.27; Maricopa County;1496;46739;58031
04013422628;Census Tract 4226.28; Maricopa County;1528;33717;55187
04013422629;Census Tract 4226.29; Maricopa County;1281;74602;83563
04013422630;Census Tract 4226.30; Maricopa County;1942;47727;56227
04013422632;Census Tract 4226.32; Maricopa County;1685;63252;66614
04013422633;Census Tract 4226.33; Maricopa County;1395;54648;71297
04013422634;Census Tract 4226.34; Maricopa County;2070;54820;68561
04013422636;Census Tract 4226.36; Maricopa County;1477;80446;97576
04013422637;Census Tract 4226.37; Maricopa County;1217;85156;112597
04013422638;Census Tract 4226.38; Maricopa County;1684;68421;86037
04013422639;Census Tract 4226.39; Maricopa County;2303;86962;103264
04013422640;Census Tract 4226.40; Maricopa County;2194;71443;93536
04013422642;Census Tract 4226.42; Maricopa County;2060;94375;124247
04013422643;Census Tract 4226.43; Maricopa County;1846;112500;130155
04013422647;Census Tract 4226.47; Maricopa County;2553;143092;158561
04013422648;Census Tract 4226.48; Maricopa County;1768;136250;164400
04013422649;Census Tract 4226.49; Maricopa County;1992;121667;147342
04013422650;Census Tract 4226.50; Maricopa County;1083;87917;105855
04013422651;Census Tract 4226.51; Maricopa County;1300;142297;166397
04013422652;Census Tract 4226.52; Maricopa County;1457;68693;73130
04013422653;Census Tract 4226.53; Maricopa County;1868;71389;84445
04013422654;Census Tract 4226.54; Maricopa County;1587;129219;151909
04013422655;Census Tract 4226.55; Maricopa County;1222;86523;87899
04013422656;Census Tract 4226.56; Maricopa County;1494;182340;229192
04013422657;Census Tract 4226.57; Maricopa County;1225;125469;144524
04013422658;Census Tract 4226.58; Maricopa County;1075;140281;158974
04013422659;Census Tract 4226.59; Maricopa County;956;71679;90418
04013422660;Census Tract 4226.60; Maricopa County;2097;78241;88167
04013522801;Census Tract 5228.01; Maricopa County;0;-;-
04013522802;Census Tract 5228.02; Maricopa County;143;41198;46850
04013522901;Census Tract 5229.01; Maricopa County;2100;92024;102241
04013522903;Census Tract 5229.03; Maricopa County;1824;42813;50852
04013522904;Census Tract 5229.04; Maricopa County;1593;70321;80821
04013523002;Census Tract 5230.02; Maricopa County;1875;68625;73242
04013523005;Census Tract 5230.05; Maricopa County;2052;92615;104942
04013523006;Census Tract 5230.06; Maricopa County;2201;77938;99740
04013523007;Census Tract 5230.07; Maricopa County;1325;72373;89556
04013523008;Census Tract 5230.08; Maricopa County;1477;65859;74534
04013523102;Census Tract 5231.02; Maricopa County;2096;71286;81174
04013523103;Census Tract 5231.03; Maricopa County;2567;62166;88308
04013523104;Census Tract 5231.04; Maricopa County;2962;63464;91213
04013610001;Census Tract 6100.01; Maricopa County;874;91950;106687
04013610002;Census Tract 6100.02; Maricopa County;1885;129137;134422
04013610100;Census Tract 6101; Maricopa County;299;98480;123922
04013610201;Census Tract 6102.01; Maricopa County;1884;111111;144404
04013610202;Census Tract 6102.02; Maricopa County;1591;130213;162152
04013610301;Census Tract 6103.01; Maricopa County;1124;110588;148384
04013610302;Census Tract 6103.02; Maricopa County;2046;112328;135896
04013610400;Census Tract 6104; Maricopa County;1933;106454;128249
