GEOID;tract;county;hh_count;median_hh_inc;mean_hh_inc
04013010101;Census Tract 101.01; Maricopa County;2394;99489;133264
04013010102;Census Tract 101.02; Maricopa County;2482;134865;236289
04013030401;Census Tract 304.01; Maricopa County;2539;110375;180396
04013030402;Census Tract 304.02; Maricopa County;2192;77432;110422
04013040502;Census Tract 405.02; Maricopa County;2521;48281;73851
04013040506;Census Tract 405.06; Maricopa County;3401;47425;53542
04013040507;Census Tract 405.07; Maricopa County;3993;52659;63379
04013040512;Census Tract 405.12; Maricopa County;1017;54450;70662
04013040513;Census Tract 405.13; Maricopa County;1730;58750;71024
04013040514;Census Tract 405.14; Maricopa County;1883;56292;65947
04013040515;Census Tract 405.15; Maricopa County;1960;55625;74688
04013040516;Census Tract 405.16; Maricopa County;2324;78214;89482
04013040517;Census Tract 405.17; Maricopa County;3014;61731;76803
04013040518;Census Tract 405.18; Maricopa County;2942;74091;84066
04013040519;Census Tract 405.19; Maricopa County;2933;93937;124151
04013040520;Census Tract 405.20; Maricopa County;1968;112386;134983
04013040521;Census Tract 405.21; Maricopa County;2488;99653;103954
04013040522;Census Tract 405.22; Maricopa County;2534;48083;67977
04013040523;Census Tract 405.23; Maricopa County;1658;73229;88148
04013040524;Census Tract 405.24; Maricopa County;785;70341;79718
04013040525;Census Tract 405.25; Maricopa County;1760;69135;79702
04013040526;Census Tract 405.26; Maricopa County;1224;60261;71603
04013040527;Census Tract 405.27; Maricopa County;1765;62466;77138
04013040528;Census Tract 405.28; Maricopa County;3303;60969;79072
04013040529;Census Tract 405.29; Maricopa County;1831;66463;77717
04013040530;Census Tract 405.30; Maricopa County;1409;54375;68903
04013040531;Census Tract 405.31; Maricopa County;2009;45236;56679
04013050603;Census Tract 506.03; Maricopa County;1789;61503;64096
04013050604;Census Tract 506.04; Maricopa County;1193;60152;65276
04013050605;Census Tract 506.05; Maricopa County;2667;87934;96631
04013050606;Census Tract 506.06; Maricopa County;3236;109516;124575
04013050607;Census Tract 506.07; Maricopa County;2241;64625;70882
04013050608;Census Tract 506.08; Maricopa County;2307;66536;81896
04013050609;Census Tract 506.09; Maricopa County;1815;63750;72243
04013050610;Census Tract 506.10; Maricopa County;3297;80807;89606
04013050611;Census Tract 506.11; Maricopa County;1532;67279;84907
04013050701;Census Tract 507.01; Maricopa County;1815;53650;60503
04013050702;Census Tract 507.02; Maricopa County;1569;48169;52455
04013060801;Census Tract 608.01; Maricopa County;2210;31024;42184
04013060802;Census Tract 608.02; Maricopa County;907;59743;65907
04013060901;Census Tract 609.01; Maricopa County;1502;59338;72453
