GEOID;tract;county;hh_count;median_hh_inc;mean_hh_inc
04013010102;Census Tract 101.02; Maricopa County;2626;149236;239510
04013010103;Census Tract 101.03; Maricopa County;1337;100128;114839
04013010104;Census Tract 101.04; Maricopa County;1378;125282;157385
04013030401;Census Tract 304.01; Maricopa County;2498;148052;193551
04013030402;Census Tract 304.02; Maricopa County;1703;87019;112328
04013040502;Census Tract 405.02; Maricopa County;2393;55853;88175
04013040506;Census Tract 405.06; Maricopa County;3773;45827;50324
04013040507;Census Tract 405.07; Maricopa County;3950;55345;66407
04013040512;Census Tract 405.12; Maricopa County;980;55750;76586
04013040513;Census Tract 405.13; Maricopa County;1749;63101;80464
04013040514;Census Tract 405.14; Maricopa County;1819;60347;71742
04013040515;Census Tract 405.15; Maricopa County;1783;52721;80979
04013040516;Census Tract 405.16; Maricopa County;2782;85250;90245
04013040522;Census Tract 405.22; Maricopa County;2521;59356;76752
04013040523;Census Tract 405.23; Maricopa County;1791;76563;90385
04013040524;Census Tract 405.24; Maricopa County;886;75909;77907
04013040525;Census Tract 405.25; Maricopa County;1768;66548;76679
04013040526;Census Tract 405.26; Maricopa County;1320;61004;81402
04013040527;Census Tract 405.27; Maricopa County;1869;62644;76893
04013040528;Census Tract 405.28; Maricopa County;3381;57636;77404
04013040529;Census Tract 405.29; Maricopa County;1850;69924;86318
04013040530;Census Tract 405.30; Maricopa County;1383;51891;68767
04013040531;Census Tract 405.31; Maricopa County;2203;47807;54972
04013040532;Census Tract 405.32; Maricopa County;1961;95469;106828
04013040533;Census Tract 405.33; Maricopa County;597;105721;108654
04013040534;Census Tract 405.34; Maricopa County;1630;82321;112939
04013040535;Census Tract 405.35; Maricopa County;1590;98971;129503
04013040536;Census Tract 405.36; Maricopa County;1614;123523;145288
04013040537;Census Tract 405.37; Maricopa County;905;111269;126703
04013040538;Census Tract 405.38; Maricopa County;1064;80000;85797
04013040539;Census Tract 405.39; Maricopa County;2360;70543;81337
04013040540;Census Tract 405.40; Maricopa County;1367;83794;97286
04013040541;Census Tract 405.41; Maricopa County;1686;44613;60451
04013050603;Census Tract 506.03; Maricopa County;1950;62885;71092
04013050604;Census Tract 506.04; Maricopa County;1047;60990;71080
04013050609;Census Tract 506.09; Maricopa County;1685;65132;72004
04013050611;Census Tract 506.11; Maricopa County;1551;75409;95867
04013050612;Census Tract 506.12; Maricopa County;2086;88167;89820
04013050613;Census Tract 506.13; Maricopa County;1252;86295;101920
04013050614;Census Tract 506.14; Maricopa County;1018;62423;101571
04013050615;Census Tract 506.15; Maricopa County;1314;60000;72384
04013050616;Census Tract 506.16; Maricopa County;798;77115;77958
04013050617;Census Tract 506.17; Maricopa County;1320;62356;72732
04013050618;Census Tract 506.18; Maricopa County;1827;132601;137579
04013050619;Census Tract 506.19; Maricopa County;2059;120280;127058
04013050620;Census Tract 506.20; Maricopa County;1507;100792;123591
04013050621;Census Tract 506.21; Maricopa County;1462;64531;71663
04013050701;Census Tract 507.01; Maricopa County;1844;59194;64102
04013050702;Census Tract 507.02; Maricopa County;1675;50592;57633
04013060801;Census Tract 608.01; Maricopa County;2547;44721;65983
04013060802;Census Tract 608.02; Maricopa County;846;68250;68631
04013060901;Census Tract 609.01; Maricopa County;1453;56506;71844
04013060902;Census Tract 609.02; Maricopa County;1064;43650;48747
04013060903;Census Tract 609.03; Maricopa County;1553;57853;64024
04013060904;Census Tract 609.04; Maricopa County;1133;53393;62841
04013061010;Census Tract 610.10; Maricopa County;2441;93839;108703
04013061011;Census Tract 610.11; Maricopa County;2340;103864;108652
04013061013;Census Tract 610.13; Maricopa County;2074;90245;109860
04013061014;Census Tract 610.14; Maricopa County;2351;57396;75504
04013061015;Census Tract 610.15; Maricopa County;1719;86495;104042
04013061017;Census Tract 610.17; Maricopa County;0;-;-
04013061018;Census Tract 610.18; Maricopa County;2810;66012;91888
04013061020;Census Tract 610.20; Maricopa County;1096;109643;110095
04013061021;Census Tract 610.21; Maricopa County;513;127969;150903
04013061024;Census Tract 610.24; Maricopa County;583;73438;81855
04013061026;Census Tract 610.26; Maricopa County;2180;59148;75850
04013061027;Census Tract 610.27; Maricopa County;2016;79750;81624
04013061028;Census Tract 610.28; Maricopa County;1056;58500;76975
04013061029;Census Tract 610.29; Maricopa County;1935;62168;74268
04013061031;Census Tract 610.31; Maricopa County;1828;82154;102743
04013061032;Census Tract 610.32; Maricopa County;1861;83944;91817
04013061033;Census Tract 610.33; Maricopa County;1945;73239;79903
04013061034;Census Tract 610.34; Maricopa County;2331;79028;100440
04013061035;Census Tract 610.35; Maricopa County;2317;61959;76120
04013061036;Census Tract 610.36; Maricopa County;1231;110925;121059
04013061037;Census Tract 610.37; Maricopa County;1630;98587;96568
04013061038;Census Tract 610.38; Maricopa County;1382;74805;79379
04013061039;Census Tract 610.39; Maricopa County;1351;111845;112654
04013061040;Census Tract 610.40; Maricopa County;1534;73340;73822
04013061041;Census Tract 610.41; Maricopa County;1615;72518;65908
04013061042;Census Tract 610.42; Maricopa County;984;61282;71856
04013061043;Census Tract 610.43; Maricopa County;691;62454;89031
04013061044;Census Tract 610.44; Maricopa County;2623;86703;96920
04013061045;Census Tract 610.45; Maricopa County;2555;106771;125517
04013061046;Census Tract 610.46; Maricopa County;2130;57384;67988
04013061047;Census Tract 610.47; Maricopa County;1177;122361;142993
04013061048;Census Tract 610.48; Maricopa County;1213;88542;105772
04013061049;Census Tract 610.49; Maricopa County;1583;82986;96121
04013061050;Census Tract 610.50; Maricopa County;1608;81282;91825
04013061051;Census Tract 610.51; Maricopa County;1254;67679;98299
04013061052;Census Tract 610.52; Maricopa County;2386;77420;96658
04013061053;Census Tract 610.53; Maricopa County;1529;80282;89277
04013061054;Census Tract 610.54; Maricopa County;2399;91588;123760
04013061055;Census Tract 610.55; Maricopa County;1621;116508;143197
04013061056;Census Tract 610.56; Maricopa County;831;117583;121235
04013061057;Census Tract 610.57; Maricopa County;854;74500;91910
04013061058;Census Tract 610.58; Maricopa County;1091;65631;68560
04013061059;Census Tract 610.59; Maricopa County;1352;93794;102617
04013061060;Census Tract 610.60; Maricopa County;912;67013;121373
04013061061;Census Tract 610.61; Maricopa County;1337;69975;85075
04013061062;Census Tract 610.62; Maricopa County;2246;85291;99269
04013061063;Census Tract 610.63; Maricopa County;463;49081;50849
04013061064;Census Tract 610.64; Maricopa County;872;84280;116699
04013061100;Census Tract 611; Maricopa County;564;52071;60605
04013061200;Census Tract 612; Maricopa County;1931;43880;45264
04013061300;Census Tract 613; Maricopa County;633;51104;56627
04013061401;Census Tract 614.01; Maricopa County;687;32986;36226
04013061402;Census Tract 614.02; Maricopa County;1741;45596;58810
04013071503;Census Tract 715.03; Maricopa County;2989;42449;58260
04013071504;Census Tract 715.04; Maricopa County;2171;51853;60801
04013071505;Census Tract 715.05; Maricopa County;3936;45909;52821
04013071506;Census Tract 715.06; Maricopa County;2302;48571;63355
04013071509;Census Tract 715.09; Maricopa County;1790;87159;97684
04013071510;Census Tract 715.10; Maricopa County;1226;119737;144651
04013071511;Census Tract 715.11; Maricopa County;1397;61490;72721
04013071512;Census Tract 715.12; Maricopa County;2123;77047;91589
04013071513;Census Tract 715.13; Maricopa County;480;103167;146442
04013071514;Census Tract 715.14; Maricopa County;1733;80868;86663
04013071515;Census Tract 715.15; Maricopa County;1713;69028;79806
04013071516;Census Tract 715.16; Maricopa County;1967;41717;52688
04013071517;Census Tract 715.17; Maricopa County;1141;77813;83297
04013071600;Census Tract 716; Maricopa County;1665;29579;46130
04013071701;Census Tract 717.01; Maricopa County;954;66031;70834
04013071702;Census Tract 717.02; Maricopa County;1850;38598;47698
04013071801;Census Tract 718.01; Maricopa County;3140;33626;41392
04013071802;Census Tract 718.02; Maricopa County;2161;32399;51748
04013071903;Census Tract 719.03; Maricopa County;2298;68325;76607
04013071906;Census Tract 719.06; Maricopa County;1980;53214;67025
04013071909;Census Tract 719.09; Maricopa County;1507;53023;58647
04013071910;Census Tract 719.10; Maricopa County;2341;46704;55776
04013071911;Census Tract 719.11; Maricopa County;1016;77500;92621
04013071912;Census Tract 719.12; Maricopa County;1093;44931;51582
04013071913;Census Tract 719.13; Maricopa County;1711;56314;67063
04013071914;Census Tract 719.14; Maricopa County;793;54625;58010
04013071915;Census Tract 719.15; Maricopa County;1327;51146;67668
04013082002;Census Tract 820.02; Maricopa County;2435;71176;63050
04013082007;Census Tract 820.07; Maricopa County;1177;51537;58464
04013082008;Census Tract 820.08; Maricopa County;1711;49651;61309
04013082009;Census Tract 820.09; Maricopa County;1324;56962;66856
04013082010;Census Tract 820.10; Maricopa County;1323;63274;81300
04013082012;Census Tract 820.12; Maricopa County;1803;68420;74204
04013082016;Census Tract 820.16; Maricopa County;843;80610;84048
04013082017;Census Tract 820.17; Maricopa County;1340;59054;69243
04013082018;Census Tract 820.18; Maricopa County;1634;68478;70109
04013082019;Census Tract 820.19; Maricopa County;781;93194;102885
04013082020;Census Tract 820.20; Maricopa County;1371;86250;92961
04013082021;Census Tract 820.21; Maricopa County;798;83941;88230
04013082022;Census Tract 820.22; Maricopa County;1802;50390;66528
04013082023;Census Tract 820.23; Maricopa County;1769;87425;95987
04013082024;Census Tract 820.24; Maricopa County;1465;46005;62568
04013082025;Census Tract 820.25; Maricopa County;976;92434;96180
04013082026;Census Tract 820.26; Maricopa County;2067;85225;89492
04013082027;Census Tract 820.27; Maricopa County;1393;62104;97738
04013082028;Census Tract 820.28; Maricopa County;1374;54873;69311
04013082204;Census Tract 822.04; Maricopa County;1475;69306;75842
04013082205;Census Tract 822.05; Maricopa County;1652;75383;77156
04013082206;Census Tract 822.06; Maricopa County;1060;85921;112072
04013082207;Census Tract 822.07; Maricopa County;917;70580;77408
04013082208;Census Tract 822.08; Maricopa County;801;58886;65912
04013082209;Census Tract 822.09; Maricopa County;896;51316;57357
04013082210;Census Tract 822.10; Maricopa County;1395;65625;74002
04013082211;Census Tract 822.11; Maricopa County;1856;95000;91550
04013082212;Census Tract 822.12; Maricopa County;1583;89576;91893
04013082213;Census Tract 822.13; Maricopa County;1613;87520;91527
04013083000;Census Tract 830; Maricopa County;2249;54494;61320
04013092305;Census Tract 923.05; Maricopa County;1582;48289;58945
04013092306;Census Tract 923.06; Maricopa County;2019;64221;73064
04013092307;Census Tract 923.07; Maricopa County;1999;59375;79858
04013092308;Census Tract 923.08; Maricopa County;2679;52698;58846
04013092309;Census Tract 923.09; Maricopa County;1824;78750;81319
04013092311;Census Tract 923.11; Maricopa County;1316;33080;44318
04013092312;Census Tract 923.12; Maricopa County;2407;41212;50421
04013092401;Census Tract 924.01; Maricopa County;1639;40564;72659
04013092402;Census Tract 924.02; Maricopa County;1819;39326;48896
04013092500;Census Tract 925; Maricopa County;1883;47011;54916
04013092600;Census Tract 926; Maricopa County;1102;35000;42536
04013092705;Census Tract 927.05; Maricopa County;1560;49890;56525
04013092708;Census Tract 927.08; Maricopa County;675;57880;66179
04013092709;Census Tract 927.09; Maricopa County;1377;63828;81473
04013092710;Census Tract 927.10; Maricopa County;1647;84850;95780
04013092711;Census Tract 927.11; Maricopa County;1054;58846;88496
04013092712;Census Tract 927.12; Maricopa County;1734;66905;92711
04013092713;Census Tract 927.13; Maricopa County;1431;71450;77690
04013092715;Census Tract 927.15; Maricopa County;1197;56544;80118
04013092716;Census Tract 927.16; Maricopa County;1122;60813;63551
04013092717;Census Tract 927.17; Maricopa County;1548;47841;62717
04013092718;Census Tract 927.18; Maricopa County;1287;43632;53866
04013092719;Census Tract 927.19; Maricopa County;1520;64176;72474
04013092720;Census Tract 927.20; Maricopa County;2052;69881;88003
04013092721;Census Tract 927.21; Maricopa County;1039;115847;118010
04013092723;Census Tract 927.23; Maricopa County;1413;65820;76696
04013092724;Census Tract 927.24; Maricopa County;1419;44688;49637
04013092801;Census Tract 928.01; Maricopa County;1579;33839;41491
04013092802;Census Tract 928.02; Maricopa County;1704;37159;40872
04013092900;Census Tract 929; Maricopa County;1016;34149;40276
04013093001;Census Tract 930.01; Maricopa County;1965;35572;51029
04013093002;Census Tract 930.02; Maricopa County;1245;48125;51819
04013093101;Census Tract 931.01; Maricopa County;1647;41319;54316
04013093104;Census Tract 931.04; Maricopa County;1486;31759;32423
04013093105;Census Tract 931.05; Maricopa County;1756;24352;40281
04013093106;Census Tract 931.06; Maricopa County;1042;52727;68053
04013093200;Census Tract 932; Maricopa County;1354;48583;53714
04013103205;Census Tract 1032.05; Maricopa County;928;88906;111520
04013103206;Census Tract 1032.06; Maricopa County;865;117786;149905
04013103207;Census Tract 1032.07; Maricopa County;845;132917;162576
04013103208;Census Tract 1032.08; Maricopa County;2091;60508;81942
04013103209;Census Tract 1032.09; Maricopa County;2200;79031;138242
04013103210;Census Tract 1032.10; Maricopa County;3755;54991;77209
04013103211;Census Tract 1032.11; Maricopa County;1757;95739;114773
04013103212;Census Tract 1032.12; Maricopa County;1617;104046;126481
04013103214;Census Tract 1032.14; Maricopa County;1468;108125;138798
04013103215;Census Tract 1032.15; Maricopa County;1120;111167;137679
